0          References for Cross Section of 32S32S        
           Sarka et al., 2023 (4 isotopes but 10 isotopes needed=>No isotope)   
0 Branching ratio for 32S32S       Total        1 branch
Lambda  Total   32S/32S
2209.076057  7.04E-22  7.04E-22
2211.15461  1.93E-21  1.93E-21
2213.375147  3.10E-21  3.10E-21
2215.182273  3.91E-21  3.91E-21
2216.776619  4.60E-21  4.60E-21
2218.237924  5.16E-21  5.16E-21
2219.583014  5.66E-21  5.66E-21
2220.870503  6.09E-21  6.09E-21
2222.096712  6.52E-21  6.52E-21
2223.267265  6.90E-21  6.90E-21
2224.397646  7.25E-21  7.25E-21
2225.49284  7.58E-21  7.58E-21
2226.552726  7.91E-21  7.91E-21
2227.581748  8.22E-21  8.22E-21
2228.587648  8.52E-21  8.52E-21
2229.569226  8.81E-21  8.81E-21
2230.537001  9.09E-21  9.09E-21
2231.480605  9.36E-21  9.36E-21
2232.402503  9.63E-21  9.63E-21
2233.305073  9.91E-21  9.91E-21
2233.859245  1.00E-20  1.00E-20
2233.949134  9.96E-21  9.96E-21
2234.102956  9.90E-21  9.90E-21
2234.317441  9.80E-21  9.80E-21
2234.585939  9.63E-21  9.63E-21
2234.896734  9.48E-21  9.48E-21
2235.033757  9.64E-21  9.64E-21
2235.046983  9.71E-21  9.71E-21
2235.062155  9.75E-21  9.75E-21
2235.080389  9.65E-21  9.65E-21
2235.099291  9.85E-21  9.85E-21
2235.124611  9.76E-21  9.76E-21
2235.150612  9.91E-21  9.91E-21
2235.171922  9.34E-21  9.34E-21
2235.194889  9.63E-21  9.63E-21
2235.206514  1.01E-20  1.01E-20
2235.216233  9.95E-21  9.95E-21
2235.22449  1.12E-20  1.12E-20
2235.237042  9.86E-21  9.86E-21
2235.252636  9.73E-21  9.73E-21
2235.263487  1.15E-20  1.15E-20
2235.276308  9.75E-21  9.75E-21
2235.295196  1.02E-20  1.02E-20
2235.308407  1.09E-20  1.09E-20
2235.322084  1.12E-20  1.12E-20
2235.351904  1.07E-20  1.07E-20
2235.36651  1.06E-20  1.06E-20
2235.386317  1.06E-20  1.06E-20
2235.409591  1.01E-20  1.01E-20
2235.431364  1.05E-20  1.05E-20
2235.457253  9.26E-21  9.26E-21
2235.471135  1.28E-20  1.28E-20
2235.487574  9.58E-21  9.58E-21
2235.509118  1.03E-20  1.03E-20
2235.51973  9.85E-21  9.85E-21
2235.525717  1.15E-20  1.15E-20
2235.53381  1.57E-20  1.57E-20
2235.542253  9.47E-21  9.47E-21
2235.555824  9.95E-21  9.95E-21
2235.56822  1.30E-20  1.30E-20
2235.581631  1.13E-20  1.13E-20
2235.595546  1.13E-20  1.13E-20
2235.608369  1.05E-20  1.05E-20
2235.622631  1.11E-20  1.11E-20
