0          References for Cross Section of 33S33S33S        
           Frandsen., 2020 (No isotope)   
0 Branching ratio for 33S33S33S       Total        1 branch
Lambda  Total   33S/33S33S
2449.7  1.54E-18  1.54E-18
2452.2  1.52E-18  1.52E-18
2454.6  1.51E-18  1.51E-18
2457  1.49E-18  1.49E-18
2459.5  1.48E-18  1.48E-18
2461.9  1.47E-18  1.47E-18
2464.4  1.45E-18  1.45E-18
2466.8  1.44E-18  1.44E-18
2469.3  1.42E-18  1.42E-18
2471.7  1.41E-18  1.41E-18
2474.2  1.39E-18  1.39E-18
2476.7  1.37E-18  1.37E-18
2479.1  1.36E-18  1.36E-18
2481.6  1.34E-18  1.34E-18
2484.1  1.33E-18  1.33E-18
2486.6  1.31E-18  1.31E-18
2489.1  1.29E-18  1.29E-18
2491.6  1.27E-18  1.27E-18
2494.1  1.25E-18  1.25E-18
2496.6  1.24E-18  1.24E-18
2499.1  1.22E-18  1.22E-18
2501.6  1.20E-18  1.20E-18
2504.2  1.18E-18  1.18E-18
2506.7  1.16E-18  1.16E-18
2509.2  1.14E-18  1.14E-18
2511.8  1.12E-18  1.12E-18
2514.3  1.09E-18  1.09E-18
2516.9  1.07E-18  1.07E-18
2519.4  1.05E-18  1.05E-18
2522  1.02E-18  1.02E-18
2524.6  1.00E-18  1.00E-18
2527.1  9.76E-19  9.76E-19
2529.7  9.50E-19  9.50E-19
2532.3  9.24E-19  9.24E-19
2534.9  8.98E-19  8.98E-19
2537.5  8.72E-19  8.72E-19
2540.1  8.45E-19  8.45E-19
2542.7  8.18E-19  8.18E-19
2545.3  7.91E-19  7.91E-19
2547.9  7.65E-19  7.65E-19
2550.5  7.38E-19  7.38E-19
2553.2  7.12E-19  7.12E-19
2555.8  6.87E-19  6.87E-19
2558.4  6.63E-19  6.63E-19
2561.1  6.39E-19  6.39E-19
2563.7  6.17E-19  6.17E-19
2566.4  5.95E-19  5.95E-19
2569  5.75E-19  5.75E-19
2571.7  5.56E-19  5.56E-19
2574.4  5.37E-19  5.37E-19
2577  5.20E-19  5.20E-19
2579.7  5.04E-19  5.04E-19
2582.4  4.89E-19  4.89E-19
2585.1  4.74E-19  4.74E-19
2587.8  4.61E-19  4.61E-19
2590.5  4.47E-19  4.47E-19
2593.2  4.35E-19  4.35E-19
2595.9  4.22E-19  4.22E-19
2598.6  4.10E-19  4.10E-19
2601.4  3.98E-19  3.98E-19
2604.1  3.86E-19  3.86E-19
2606.8  3.73E-19  3.73E-19
2609.6  3.61E-19  3.61E-19
2612.3  3.48E-19  3.48E-19
2615.1  3.36E-19  3.36E-19
2617.9  3.23E-19  3.23E-19
2620.6  3.10E-19  3.10E-19
2623.4  2.97E-19  2.97E-19
2626.2  2.83E-19  2.83E-19
2629  2.70E-19  2.70E-19
2631.7  2.57E-19  2.57E-19
2634.5  2.44E-19  2.44E-19
2637.3  2.31E-19  2.31E-19
2640.2  2.19E-19  2.19E-19
2643  2.06E-19  2.06E-19
2645.8  1.94E-19  1.94E-19
2648.6  1.83E-19  1.83E-19
2651.4  1.72E-19  1.72E-19
2654.3  1.62E-19  1.62E-19
2657.1  1.52E-19  1.52E-19
2660  1.42E-19  1.42E-19
2662.8  1.34E-19  1.34E-19
2665.7  1.25E-19  1.25E-19
2668.6  1.18E-19  1.18E-19
2671.4  1.10E-19  1.10E-19
2674.3  1.04E-19  1.04E-19
2677.2  9.74E-20  9.74E-20
2680.1  9.16E-20  9.16E-20
2683  8.62E-20  8.62E-20
2685.9  8.12E-20  8.12E-20
2688.8  7.65E-20  7.65E-20
2691.7  7.22E-20  7.22E-20
2694.7  6.81E-20  6.81E-20
2697.6  6.43E-20  6.43E-20
2700.5  6.08E-20  6.08E-20
2703.5  5.76E-20  5.76E-20
2706.4  5.45E-20  5.45E-20
2709.4  5.17E-20  5.17E-20
2712.3  4.91E-20  4.91E-20
2715.3  4.66E-20  4.66E-20
2718.3  4.43E-20  4.43E-20
2721.3  4.21E-20  4.21E-20
2724.3  4.01E-20  4.01E-20
2727.3  3.82E-20  3.82E-20
2730.3  3.64E-20  3.64E-20
2733.3  3.47E-20  3.47E-20
2736.3  3.30E-20  3.30E-20
2739.3  3.14E-20  3.14E-20
2742.3  2.99E-20  2.99E-20
2745.4  2.84E-20  2.84E-20
2748.4  2.69E-20  2.69E-20
2751.5  2.55E-20  2.55E-20
2754.5  2.41E-20  2.41E-20
2757.6  2.27E-20  2.27E-20
2760.7  2.14E-20  2.14E-20
2763.7  2.01E-20  2.01E-20
2766.8  1.89E-20  1.89E-20
2769.9  1.77E-20  1.77E-20
2773  1.65E-20  1.65E-20
2776.1  1.54E-20  1.54E-20
2779.2  1.43E-20  1.43E-20
2782.3  1.33E-20  1.33E-20
2785.5  1.23E-20  1.23E-20
2788.6  1.14E-20  1.14E-20
2791.7  1.06E-20  1.06E-20
2794.9  9.74E-21  9.74E-21
2798  8.98E-21  8.98E-21
2801.2  8.27E-21  8.27E-21
2804.4  7.60E-21  7.60E-21
2807.5  6.97E-21  6.97E-21
2810.7  6.39E-21  6.39E-21
2813.9  5.84E-21  5.84E-21
2817.1  5.33E-21  5.33E-21
2820.3  4.84E-21  4.84E-21
2823.5  4.39E-21  4.39E-21
2826.8  3.97E-21  3.97E-21
2830  3.58E-21  3.58E-21
2833.2  3.21E-21  3.21E-21
2836.5  2.87E-21  2.87E-21
2839.7  2.56E-21  2.56E-21
2843  2.26E-21  2.26E-21
2846.2  1.99E-21  1.99E-21
2849.5  1.75E-21  1.75E-21
2852.8  1.52E-21  1.52E-21
2856.1  1.32E-21  1.32E-21
2859.3  1.13E-21  1.13E-21
2862.6  9.66E-22  9.66E-22
2866  8.19E-22  8.19E-22
2869.3  6.89E-22  6.89E-22
2872.6  5.76E-22  5.76E-22
2875.9  4.78E-22  4.78E-22
2879.3  3.93E-22  3.93E-22
