0          References for Cross Section of 34SO        32S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1900.13973  3.43E-18  3.43E-18
1900.350198  3.42E-18  3.42E-18
1900.55535  3.42E-18  3.42E-18
1900.759549  3.42E-18  3.42E-18
1900.982085  3.41E-18  3.41E-18
1901.176302  3.41E-18  3.41E-18
1901.384639  3.39E-18  3.39E-18
1901.588692  3.40E-18  3.40E-18
1901.812091  3.43E-18  3.43E-18
1902.002395  3.45E-18  3.45E-18
1902.212533  3.47E-18  3.47E-18
1902.412888  3.50E-18  3.50E-18
1902.630346  3.52E-18  3.52E-18
1902.819138  3.53E-18  3.53E-18
1903.031284  3.55E-18  3.55E-18
1903.220853  3.53E-18  3.53E-18
1903.43827  3.51E-18  3.51E-18
1903.626914  3.50E-18  3.50E-18
1903.839642  3.50E-18  3.50E-18
1904.022651  3.51E-18  3.51E-18
1904.23855  3.51E-18  3.51E-18
1904.427196  3.52E-18  3.52E-18
1904.639811  3.51E-18  3.51E-18
1904.821571  3.52E-18  3.52E-18
1905.035511  3.56E-18  3.56E-18
1905.223946  3.58E-18  3.58E-18
1905.435  3.60E-18  3.60E-18
1905.612302  3.61E-18  3.61E-18
1905.803194  3.61E-18  3.61E-18
1905.889735  3.60E-18  3.60E-18
1905.978359  3.57E-18  3.57E-18
1906.102329  3.55E-18  3.55E-18
1906.222984  3.52E-18  3.52E-18
1906.359902  3.47E-18  3.47E-18
1906.485788  3.43E-18  3.43E-18
1906.617267  3.47E-18  3.47E-18
1906.625072  3.70E-18  3.70E-18
1906.632061  3.64E-18  3.64E-18
1906.642058  3.37E-18  3.37E-18
1906.660985  3.53E-18  3.53E-18
1906.686665  3.47E-18  3.47E-18
1906.699836  3.68E-18  3.68E-18
1906.714119  3.46E-18  3.46E-18
1906.725125  3.69E-18  3.69E-18
1906.747863  3.52E-18  3.52E-18
1906.773106  3.53E-18  3.53E-18
1906.785188  3.90E-18  3.90E-18
1906.792849  3.79E-18  3.79E-18
1906.799579  4.46E-18  4.46E-18
1906.806765  4.38E-18  4.38E-18
1906.816899  3.46E-18  3.46E-18
1906.831994  4.07E-18  4.07E-18
1906.847857  3.80E-18  3.80E-18
1906.857228  3.97E-18  3.97E-18
1906.865548  4.10E-18  4.10E-18
1906.872085  5.04E-18  5.04E-18
1906.881502  4.02E-18  4.02E-18
1906.890701  3.73E-18  3.73E-18
1906.90134  4.40E-18  4.40E-18
1906.922463  3.32E-18  3.32E-18
1906.938872  4.70E-18  4.70E-18
1906.948  3.94E-18  3.94E-18
1906.954465  5.11E-18  5.11E-18
1906.960346  5.53E-18  5.53E-18
1906.967642  4.25E-18  4.25E-18
1906.984681  3.50E-18  3.50E-18
1907.01073  4.13E-18  4.13E-18
1907.029588  4.27E-18  4.27E-18
1907.045789  3.71E-18  3.71E-18
1907.062227  3.62E-18  3.62E-18
1907.071311  4.55E-18  4.55E-18
1907.086568  3.34E-18  3.34E-18
1907.115079  4.09E-18  4.09E-18
1907.124123  6.35E-18  6.35E-18
1907.1331  5.12E-18  5.12E-18
1907.157166  4.13E-18  4.13E-18
1907.168094  5.52E-18  5.52E-18
1907.1744  5.75E-18  5.75E-18
1907.181272  4.30E-18  4.30E-18
1907.191936  3.49E-18  3.49E-18
1907.202607  5.72E-18  5.72E-18
1907.21085  4.49E-18  4.49E-18
1907.221615  3.61E-18  3.61E-18
1907.234754  4.52E-18  4.52E-18
1907.241056  7.37E-18  7.37E-18
1907.247113  1.16E-17  1.16E-17
1907.25419  3.51E-18  3.51E-18
1907.261223  3.98E-18  3.98E-18
1907.26895  5.88E-18  5.88E-18
1907.277093  4.49E-18  4.49E-18
1907.287975  4.33E-18  4.33E-18
1907.298808  3.99E-18  3.99E-18
1907.313421  4.76E-18  4.76E-18
1907.329738  5.58E-18  5.58E-18
1907.341836  4.50E-18  4.50E-18
1907.361601  3.68E-18  3.68E-18
1907.372417  3.94E-18  3.94E-18
1907.379519  7.23E-18  7.23E-18
1907.385539  9.29E-18  9.29E-18
1907.392726  7.38E-18  7.38E-18
1907.403779  4.64E-18  4.64E-18
1907.42061  4.03E-18  4.03E-18
1907.431252  5.65E-18  5.65E-18
1907.43903  5.74E-18  5.74E-18
1907.466632  3.63E-18  3.63E-18
1907.495107  7.35E-18  7.35E-18
1907.50949  5.33E-18  5.33E-18
1907.528386  3.90E-18  3.90E-18
1907.535083  1.14E-17  1.14E-17
1907.540661  6.86E-18  6.86E-18
1907.546091  7.08E-18  7.08E-18
1907.555285  4.05E-18  4.05E-18
1907.591692  3.81E-18  3.81E-18
1907.608768  8.67E-18  8.67E-18
1907.614676  1.24E-17  1.24E-17
1907.620935  7.02E-18  7.02E-18
1907.639706  3.40E-18  3.40E-18
1907.675634  4.69E-18  4.69E-18
1907.704039  5.04E-18  5.04E-18
1907.716464  3.67E-18  3.67E-18
1907.726902  6.21E-18  6.21E-18
1907.737425  3.28E-18  3.28E-18
1907.744104  4.97E-18  4.97E-18
1907.748606  1.32E-17  1.32E-17
1907.752382  2.02E-17  2.02E-17
1907.756243  1.01E-17  1.01E-17
1907.760404  4.47E-18  4.47E-18
1907.766363  3.31E-18  3.31E-18
1907.779819  4.74E-18  4.74E-18
1907.795113  4.50E-18  4.50E-18
1907.806297  5.61E-18  5.61E-18
1907.81397  8.76E-18  8.76E-18
1907.819969  8.82E-18  8.82E-18
1907.828122  4.71E-18  4.71E-18
1907.839517  4.08E-18  4.08E-18
1907.850659  5.81E-18  5.81E-18
1907.873491  5.20E-18  5.20E-18
1907.891949  3.75E-18  3.75E-18
1907.899498  9.18E-18  9.18E-18
1907.904795  1.46E-17  1.46E-17
1907.909331  1.35E-17  1.35E-17
1907.913783  1.18E-17  1.18E-17
1907.91912  6.54E-18  6.54E-18
1907.928742  4.74E-18  4.74E-18
1907.945567  3.58E-18  3.58E-18
1907.963796  8.16E-18  8.16E-18
1907.972099  5.46E-18  5.46E-18
1907.978024  1.09E-17  1.09E-17
1907.985156  7.63E-18  7.63E-18
1907.993108  4.50E-18  4.50E-18
1908.00321  7.55E-18  7.55E-18
1908.029731  3.41E-18  3.41E-18
1908.057563  4.36E-18  4.36E-18
1908.068186  9.11E-18  9.11E-18
1908.075868  1.35E-17  1.35E-17
1908.083522  6.67E-18  6.67E-18
1908.094834  6.22E-18  6.22E-18
1908.107441  6.92E-18  6.92E-18
1908.118429  5.95E-18  5.95E-18
1908.13881  4.51E-18  4.51E-18
1908.158181  6.43E-18  6.43E-18
1908.1681  5.12E-18  5.12E-18
1908.176624  4.37E-18  4.37E-18
1908.185918  1.15E-17  1.15E-17
1908.197552  6.56E-18  6.56E-18
1908.213  4.02E-18  4.02E-18
1908.225302  5.35E-18  5.35E-18
1908.240394  5.88E-18  5.88E-18
1908.26397  5.44E-18  5.44E-18
1908.281583  6.12E-18  6.12E-18
1908.293058  5.63E-18  5.63E-18
