0          References for Cross Section of O2        Total   
O2_Ackerman(1970)_300K_176-201nm
O2_Cheung(1986)_296-300K_195-241nm                                       
O2_JPL-2010(2011)_298K_205-245nm(rec)
O2_Bogumil(2003)_293K_235-389nm                                                    
0 Branching ratio for O2       Total        1 branch
 Lambda  Total   O/O      
1893.25  1.23E-21  1.23E-21
1901.33  3.06E-22  3.06E-22
1904.66  5.26E-22  5.26E-22
1950  6.26E-24  6.26E-24
1960  6.38E-24  6.38E-24
1970  6.45E-24  6.45E-24
1980  6.53E-24  6.53E-24
1990  6.57E-24  6.57E-24
2000  6.59E-24  6.59E-24
2010  6.62E-24  6.62E-24
2020  6.61E-24  6.61E-24
2030  6.58E-24  6.58E-24
2040  6.55E-24  6.55E-24
2050  7.35E-24  7.35E-24
2060  7.13E-24  7.13E-24
2070  7.05E-24  7.05E-24
2080  6.86E-24  6.86E-24
2090  6.68E-24  6.68E-24
2100  6.51E-24  6.51E-24
2110  6.24E-24  6.24E-24
2120  6.05E-24  6.05E-24
2130  5.89E-24  5.89E-24
2140  5.72E-24  5.72E-24
2150  5.59E-24  5.59E-24
2160  5.35E-24  5.35E-24
2170  5.13E-24  5.13E-24
2180  4.88E-24  4.88E-24
2190  4.64E-24  4.64E-24
2200  4.46E-24  4.46E-24
2210  4.26E-24  4.26E-24
2220  4.09E-24  4.09E-24
2230  3.89E-24  3.89E-24
2240  3.67E-24  3.67E-24
2250  3.45E-24  3.45E-24
2260  3.21E-24  3.21E-24
2270  2.98E-24  2.98E-24
2280  2.77E-24  2.77E-24
2290  2.63E-24  2.63E-24
2300  2.43E-24  2.43E-24
2310  2.25E-24  2.25E-24
2320  2.10E-24  2.10E-24
2330  1.94E-24  1.94E-24
2340  1.78E-24  1.78E-24
2350  1.63E-24  1.63E-24
2350.718  4.87E-24  4.87E-24
2352.022  4.88E-24  4.88E-24
2353.325  4.83E-24  4.83E-24
2354.628  4.77E-24  4.77E-24
2355.93  4.73E-24  4.73E-24
2357.232  4.71E-24  4.71E-24
2358.533  4.65E-24  4.65E-24
2359.833  4.67E-24  4.67E-24
2361.133  4.65E-24  4.65E-24
2362.433  4.58E-24  4.58E-24
2363.731  4.63E-24  4.63E-24
2365.029  4.53E-24  4.53E-24
2366.327  4.51E-24  4.51E-24
2367.624  4.54E-24  4.54E-24
2368.92  4.50E-24  4.50E-24
2370.216  4.45E-24  4.45E-24
2371.511  4.38E-24  4.38E-24
2372.806  4.37E-24  4.37E-24
2374.1  4.32E-24  4.32E-24
2375.393  4.31E-24  4.31E-24
2376.686  4.21E-24  4.21E-24
2377.978  4.19E-24  4.19E-24
2379.27  4.19E-24  4.19E-24
2380.561  4.19E-24  4.19E-24
2381.851  4.13E-24  4.13E-24
2383.141  4.07E-24  4.07E-24
2384.43  4.05E-24  4.05E-24
2385.719  4.04E-24  4.04E-24
2387.006  4.02E-24  4.02E-24
2388.294  4.00E-24  4.00E-24
2389.581  3.96E-24  3.96E-24
2390.867  3.92E-24  3.92E-24
2392.152  3.92E-24  3.92E-24
2393.437  3.83E-24  3.83E-24
2394.721  3.80E-24  3.80E-24
2396.005  3.77E-24  3.77E-24
2397.288  3.73E-24  3.73E-24
2398.57  3.70E-24  3.70E-24
2399.852  3.68E-24  3.68E-24
2401.133  3.67E-24  3.67E-24
2402.414  3.68E-24  3.68E-24
2403.694  3.65E-24  3.65E-24
2404.973  3.62E-24  3.62E-24
2406.252  3.57E-24  3.57E-24
2407.53  3.57E-24  3.57E-24
2408.808  3.53E-24  3.53E-24
2410.084  3.51E-24  3.51E-24
2411.361  3.50E-24  3.50E-24
2412.636  3.43E-24  3.43E-24
2413.911  3.42E-24  3.42E-24
2415.185  3.39E-24  3.39E-24
2416.459  3.36E-24  3.36E-24
2417.732  3.35E-24  3.35E-24
2419.005  3.30E-24  3.30E-24
2420.277  3.29E-24  3.29E-24
2421.548  3.25E-24  3.25E-24
2422.818  3.25E-24  3.25E-24
2424.088  3.23E-24  3.23E-24
2425.358  3.19E-24  3.19E-24
2426.626  3.07E-24  3.07E-24
2427.894  3.03E-24  3.03E-24
2429.162  3.10E-24  3.10E-24
2430.429  3.30E-24  3.30E-24
2431.695  3.31E-24  3.31E-24
2432.96  3.17E-24  3.17E-24
2434.225  3.02E-24  3.02E-24
2435.489  2.87E-24  2.87E-24
2436.753  2.84E-24  2.84E-24
2438.016  2.71E-24  2.71E-24
2439.278  2.70E-24  2.70E-24
2440.54  2.69E-24  2.69E-24
2441.801  2.67E-24  2.67E-24
2443.062  2.95E-24  2.95E-24
2444.322  3.20E-24  3.20E-24
2445.581  3.22E-24  3.22E-24
2446.839  3.14E-24  3.14E-24
2448.097  2.96E-24  2.96E-24
2449.355  2.78E-24  2.78E-24
2450.611  2.64E-24  2.64E-24
2451.867  2.58E-24  2.58E-24
2453.123  2.48E-24  2.48E-24
2454.377  2.44E-24  2.44E-24
2455.632  2.45E-24  2.45E-24
2456.885  2.38E-24  2.38E-24
2458.138  2.36E-24  2.36E-24
2459.39  2.36E-24  2.36E-24
2460.642  2.25E-24  2.25E-24
2461.893  2.32E-24  2.32E-24
2463.143  2.65E-24  2.65E-24
2464.393  3.06E-24  3.06E-24
2465.642  3.08E-24  3.08E-24
2466.89  2.97E-24  2.97E-24
2468.138  2.74E-24  2.74E-24
2469.385  2.60E-24  2.60E-24
2470.632  2.45E-24  2.45E-24
2471.878  2.39E-24  2.39E-24
2473.123  2.28E-24  2.28E-24
2474.367  2.26E-24  2.26E-24
2475.611  2.19E-24  2.19E-24
2476.855  2.11E-24  2.11E-24
2478.098  2.13E-24  2.13E-24
2479.34  2.04E-24  2.04E-24
2480.581  2.05E-24  2.05E-24
2481.822  2.09E-24  2.09E-24
2483.062  2.03E-24  2.03E-24
2484.302  1.97E-24  1.97E-24
2485.541  1.98E-24  1.98E-24
2486.779  1.98E-24  1.98E-24
2488.017  2.14E-24  2.14E-24
2489.254  2.65E-24  2.65E-24
2490.49  2.90E-24  2.90E-24
2491.726  2.76E-24  2.76E-24
2492.961  2.54E-24  2.54E-24
2494.196  2.43E-24  2.43E-24
2495.43  2.30E-24  2.30E-24
2496.663  2.25E-24  2.25E-24
2497.896  2.16E-24  2.16E-24
2499.128  2.10E-24  2.10E-24
2500.359  2.03E-24  2.03E-24
2501.59  1.88E-24  1.88E-24
2502.82  1.86E-24  1.86E-24
2504.05  1.76E-24  1.76E-24
2505.279  1.71E-24  1.71E-24
2506.507  1.74E-24  1.74E-24
2507.735  1.72E-24  1.72E-24
2508.962  1.73E-24  1.73E-24
2510.189  1.78E-24  1.78E-24
2511.414  1.74E-24  1.74E-24
2512.64  1.70E-24  1.70E-24
2513.864  1.75E-24  1.75E-24
2515.088  1.75E-24  1.75E-24
2516.312  1.76E-24  1.76E-24
2517.535  1.84E-24  1.84E-24
2518.757  2.05E-24  2.05E-24
2519.978  2.37E-24  2.37E-24
2521.199  2.45E-24  2.45E-24
2522.42  2.30E-24  2.30E-24
2523.639  2.15E-24  2.15E-24
2524.858  2.10E-24  2.10E-24
2526.077  1.99E-24  1.99E-24
2527.295  1.98E-24  1.98E-24
2528.512  1.85E-24  1.85E-24
2529.729  1.80E-24  1.80E-24
2530.945  1.68E-24  1.68E-24
2532.16  1.64E-24  1.64E-24
2533.375  1.62E-24  1.62E-24
2534.59  1.51E-24  1.51E-24
2535.803  1.41E-24  1.41E-24
2537.016  1.30E-24  1.30E-24
2538.229  1.34E-24  1.34E-24
2539.441  1.48E-24  1.48E-24
2540.652  1.53E-24  1.53E-24
2541.863  1.54E-24  1.54E-24
2543.073  1.56E-24  1.56E-24
2544.282  1.57E-24  1.57E-24
2545.491  1.53E-24  1.53E-24
2546.699  1.48E-24  1.48E-24
2547.907  1.52E-24  1.52E-24
2549.114  1.52E-24  1.52E-24
2550.321  1.55E-24  1.55E-24
2551.527  1.55E-24  1.55E-24
2552.732  1.57E-24  1.57E-24
2553.937  1.71E-24  1.71E-24
2555.141  1.96E-24  1.96E-24
2556.345  1.97E-24  1.97E-24
2557.548  1.92E-24  1.92E-24
2558.75  1.85E-24  1.85E-24
2559.952  1.79E-24  1.79E-24
2561.153  1.72E-24  1.72E-24
2562.354  1.65E-24  1.65E-24
2563.554  1.58E-24  1.58E-24
2564.754  1.55E-24  1.55E-24
2565.953  1.45E-24  1.45E-24
2567.151  1.42E-24  1.42E-24
2568.349  1.41E-24  1.41E-24
2569.546  1.35E-24  1.35E-24
2570.743  1.36E-24  1.36E-24
2571.939  1.32E-24  1.32E-24
2573.135  1.26E-24  1.26E-24
2574.33  1.29E-24  1.29E-24
2575.524  1.28E-24  1.28E-24
2576.718  1.25E-24  1.25E-24
2577.911  1.29E-24  1.29E-24
2579.104  1.31E-24  1.31E-24
2580.296  1.30E-24  1.30E-24
2581.488  1.31E-24  1.31E-24
2582.679  1.31E-24  1.31E-24
2583.869  1.33E-24  1.33E-24
2585.059  1.33E-24  1.33E-24
2586.249  1.32E-24  1.32E-24
2587.438  1.35E-24  1.35E-24
2588.626  1.37E-24  1.37E-24
2589.814  1.38E-24  1.38E-24
2591.001  1.35E-24  1.35E-24
2592.188  1.32E-24  1.32E-24
2593.374  1.42E-24  1.42E-24
2594.559  1.56E-24  1.56E-24
2595.745  1.58E-24  1.58E-24
2596.929  1.55E-24  1.55E-24
2598.113  1.52E-24  1.52E-24
2599.296  1.47E-24  1.47E-24
2600.479  1.46E-24  1.46E-24
2601.662  1.41E-24  1.41E-24
2602.844  1.35E-24  1.35E-24
2604.025  1.32E-24  1.32E-24
2605.206  1.26E-24  1.26E-24
2606.386  1.26E-24  1.26E-24
2607.566  1.22E-24  1.22E-24
2608.745  1.19E-24  1.19E-24
2609.924  1.19E-24  1.19E-24
2611.102  1.13E-24  1.13E-24
2612.279  1.11E-24  1.11E-24
2613.457  1.12E-24  1.12E-24
2614.633  1.08E-24  1.08E-24
2615.809  1.05E-24  1.05E-24
2616.985  1.07E-24  1.07E-24
2618.16  1.09E-24  1.09E-24
2619.334  1.10E-24  1.10E-24
2620.509  1.13E-24  1.13E-24
2621.682  1.14E-24  1.14E-24
2622.855  1.12E-24  1.12E-24
2624.028  1.12E-24  1.12E-24
2625.2  1.11E-24  1.11E-24
2626.371  1.12E-24  1.12E-24
2627.542  1.12E-24  1.12E-24
2628.713  1.12E-24  1.12E-24
2629.883  1.14E-24  1.14E-24
2631.052  1.15E-24  1.15E-24
2632.221  1.14E-24  1.14E-24
2633.39  1.14E-24  1.14E-24
2634.558  1.14E-24  1.14E-24
2635.726  1.15E-24  1.15E-24
2636.893  1.18E-24  1.18E-24
2638.059  1.26E-24  1.26E-24
2639.226  1.29E-24  1.29E-24
2640.391  1.27E-24  1.27E-24
2641.556  1.25E-24  1.25E-24
2642.721  1.23E-24  1.23E-24
2643.885  1.17E-24  1.17E-24
2645.049  1.16E-24  1.16E-24
2646.212  1.11E-24  1.11E-24
2647.375  1.11E-24  1.11E-24
2648.538  1.07E-24  1.07E-24
2649.699  1.05E-24  1.05E-24
2650.861  1.04E-24  1.04E-24
2652.022  1.00E-24  1.00E-24
2653.182  1.02E-24  1.02E-24
2654.342  9.84E-25  9.84E-25
2655.502  9.79E-25  9.79E-25
2656.661  9.64E-25  9.64E-25
2657.82  9.63E-25  9.63E-25
2658.978  9.50E-25  9.50E-25
2660.136  9.44E-25  9.44E-25
2661.293  9.74E-25  9.74E-25
2662.45  9.42E-25  9.42E-25
2663.606  9.43E-25  9.43E-25
2664.762  9.45E-25  9.45E-25
2665.918  9.76E-25  9.76E-25
2667.073  9.63E-25  9.63E-25
2668.228  9.54E-25  9.54E-25
2669.382  9.46E-25  9.46E-25
2670.536  9.50E-25  9.50E-25
2671.689  9.45E-25  9.45E-25
2672.842  9.49E-25  9.49E-25
2673.994  9.64E-25  9.64E-25
2675.146  9.77E-25  9.77E-25
2676.298  9.64E-25  9.64E-25
2677.449  9.70E-25  9.70E-25
2678.6  9.65E-25  9.65E-25
2679.75  9.67E-25  9.67E-25
2680.9  9.45E-25  9.45E-25
