0          References for Cross Section of 32S32S34S        
           Frandsen., 2020 (No isotope)   
0 Branching ratio for 32S32S34S       Total        2 branches
Lambda  Total   32S/32S34S   34S/32S32S
2449.7  1.5400E-18  1.0267E-18  5.1333E-19
2452.2  1.5200E-18  1.0133E-18  5.0667E-19
2454.6  1.5100E-18  1.0067E-18  5.0333E-19
2457  1.4900E-18  9.9333E-19  4.9667E-19
2459.5  1.4800E-18  9.8667E-19  4.9333E-19
2461.9  1.4700E-18  9.8000E-19  4.9000E-19
2464.4  1.4500E-18  9.6667E-19  4.8333E-19
2466.8  1.4400E-18  9.6000E-19  4.8000E-19
2469.3  1.4200E-18  9.4667E-19  4.7333E-19
2471.7  1.4100E-18  9.4000E-19  4.7000E-19
2474.2  1.3900E-18  9.2667E-19  4.6333E-19
2476.7  1.3700E-18  9.1333E-19  4.5667E-19
2479.1  1.3600E-18  9.0667E-19  4.5333E-19
2481.6  1.3400E-18  8.9333E-19  4.4667E-19
2484.1  1.3300E-18  8.8667E-19  4.4333E-19
2486.6  1.3100E-18  8.7333E-19  4.3667E-19
2489.1  1.2900E-18  8.6000E-19  4.3000E-19
2491.6  1.2700E-18  8.4667E-19  4.2333E-19
2494.1  1.2500E-18  8.3333E-19  4.1667E-19
2496.6  1.2400E-18  8.2667E-19  4.1333E-19
2499.1  1.2200E-18  8.1333E-19  4.0667E-19
2501.6  1.2000E-18  8.0000E-19  4.0000E-19
2504.2  1.1800E-18  7.8667E-19  3.9333E-19
2506.7  1.1600E-18  7.7333E-19  3.8667E-19
2509.2  1.1400E-18  7.6000E-19  3.8000E-19
2511.8  1.1200E-18  7.4667E-19  3.7333E-19
2514.3  1.0900E-18  7.2667E-19  3.6333E-19
2516.9  1.0700E-18  7.1333E-19  3.5667E-19
2519.4  1.0500E-18  7.0000E-19  3.5000E-19
2522  1.0200E-18  6.8000E-19  3.4000E-19
2524.6  1.0000E-18  6.6667E-19  3.3333E-19
2527.1  9.7600E-19  6.5067E-19  3.2533E-19
2529.7  9.5000E-19  6.3333E-19  3.1667E-19
2532.3  9.2400E-19  6.1600E-19  3.0800E-19
2534.9  8.9800E-19  5.9867E-19  2.9933E-19
2537.5  8.7200E-19  5.8133E-19  2.9067E-19
2540.1  8.4500E-19  5.6333E-19  2.8167E-19
2542.7  8.1800E-19  5.4533E-19  2.7267E-19
2545.3  7.9100E-19  5.2733E-19  2.6367E-19
2547.9  7.6500E-19  5.1000E-19  2.5500E-19
2550.5  7.3800E-19  4.9200E-19  2.4600E-19
2553.2  7.1200E-19  4.7467E-19  2.3733E-19
2555.8  6.8700E-19  4.5800E-19  2.2900E-19
2558.4  6.6300E-19  4.4200E-19  2.2100E-19
2561.1  6.3900E-19  4.2600E-19  2.1300E-19
2563.7  6.1700E-19  4.1133E-19  2.0567E-19
2566.4  5.9500E-19  3.9667E-19  1.9833E-19
2569  5.7500E-19  3.8333E-19  1.9167E-19
2571.7  5.5600E-19  3.7067E-19  1.8533E-19
2574.4  5.3700E-19  3.5800E-19  1.7900E-19
2577  5.2000E-19  3.4667E-19  1.7333E-19
2579.7  5.0400E-19  3.3600E-19  1.6800E-19
2582.4  4.8900E-19  3.2600E-19  1.6300E-19
2585.1  4.7400E-19  3.1600E-19  1.5800E-19
2587.8  4.6100E-19  3.0733E-19  1.5367E-19
2590.5  4.4700E-19  2.9800E-19  1.4900E-19
2593.2  4.3500E-19  2.9000E-19  1.4500E-19
2595.9  4.2200E-19  2.8133E-19  1.4067E-19
2598.6  4.1000E-19  2.7333E-19  1.3667E-19
2601.4  3.9800E-19  2.6533E-19  1.3267E-19
2604.1  3.8600E-19  2.5733E-19  1.2867E-19
2606.8  3.7300E-19  2.4867E-19  1.2433E-19
2609.6  3.6100E-19  2.4067E-19  1.2033E-19
2612.3  3.4800E-19  2.3200E-19  1.1600E-19
2615.1  3.3600E-19  2.2400E-19  1.1200E-19
2617.9  3.2300E-19  2.1533E-19  1.0767E-19
2620.6  3.1000E-19  2.0667E-19  1.0333E-19
2623.4  2.9700E-19  1.9800E-19  9.9000E-20
2626.2  2.8300E-19  1.8867E-19  9.4333E-20
2629  2.7000E-19  1.8000E-19  9.0000E-20
2631.7  2.5700E-19  1.7133E-19  8.5667E-20
2634.5  2.4400E-19  1.6267E-19  8.1333E-20
2637.3  2.3100E-19  1.5400E-19  7.7000E-20
2640.2  2.1900E-19  1.4600E-19  7.3000E-20
2643  2.0600E-19  1.3733E-19  6.8667E-20
2645.8  1.9400E-19  1.2933E-19  6.4667E-20
2648.6  1.8300E-19  1.2200E-19  6.1000E-20
2651.4  1.7200E-19  1.1467E-19  5.7333E-20
2654.3  1.6200E-19  1.0800E-19  5.4000E-20
2657.1  1.5200E-19  1.0133E-19  5.0667E-20
2660  1.4200E-19  9.4667E-20  4.7333E-20
2662.8  1.3400E-19  8.9333E-20  4.4667E-20
2665.7  1.2500E-19  8.3333E-20  4.1667E-20
2668.6  1.1800E-19  7.8667E-20  3.9333E-20
2671.4  1.1000E-19  7.3333E-20  3.6667E-20
2674.3  1.0400E-19  6.9333E-20  3.4667E-20
2677.2  9.7400E-20  6.4933E-20  3.2467E-20
2680.1  9.1600E-20  6.1067E-20  3.0533E-20
2683  8.6200E-20  5.7467E-20  2.8733E-20
2685.9  8.1200E-20  5.4133E-20  2.7067E-20
2688.8  7.6500E-20  5.1000E-20  2.5500E-20
2691.7  7.2200E-20  4.8133E-20  2.4067E-20
2694.7  6.8100E-20  4.5400E-20  2.2700E-20
2697.6  6.4300E-20  4.2867E-20  2.1433E-20
2700.5  6.0800E-20  4.0533E-20  2.0267E-20
2703.5  5.7600E-20  3.8400E-20  1.9200E-20
2706.4  5.4500E-20  3.6333E-20  1.8167E-20
2709.4  5.1700E-20  3.4467E-20  1.7233E-20
2712.3  4.9100E-20  3.2733E-20  1.6367E-20
2715.3  4.6600E-20  3.1067E-20  1.5533E-20
2718.3  4.4300E-20  2.9533E-20  1.4767E-20
2721.3  4.2100E-20  2.8067E-20  1.4033E-20
2724.3  4.0100E-20  2.6733E-20  1.3367E-20
2727.3  3.8200E-20  2.5467E-20  1.2733E-20
2730.3  3.6400E-20  2.4267E-20  1.2133E-20
2733.3  3.4700E-20  2.3133E-20  1.1567E-20
2736.3  3.3000E-20  2.2000E-20  1.1000E-20
2739.3  3.1400E-20  2.0933E-20  1.0467E-20
2742.3  2.9900E-20  1.9933E-20  9.9667E-21
2745.4  2.8400E-20  1.8933E-20  9.4667E-21
2748.4  2.6900E-20  1.7933E-20  8.9667E-21
2751.5  2.5500E-20  1.7000E-20  8.5000E-21
2754.5  2.4100E-20  1.6067E-20  8.0333E-21
2757.6  2.2700E-20  1.5133E-20  7.5667E-21
2760.7  2.1400E-20  1.4267E-20  7.1333E-21
2763.7  2.0100E-20  1.3400E-20  6.7000E-21
2766.8  1.8900E-20  1.2600E-20  6.3000E-21
2769.9  1.7700E-20  1.1800E-20  5.9000E-21
2773  1.6500E-20  1.1000E-20  5.5000E-21
2776.1  1.5400E-20  1.0267E-20  5.1333E-21
2779.2  1.4300E-20  9.5333E-21  4.7667E-21
2782.3  1.3300E-20  8.8667E-21  4.4333E-21
2785.5  1.2300E-20  8.2000E-21  4.1000E-21
2788.6  1.1400E-20  7.6000E-21  3.8000E-21
2791.7  1.0600E-20  7.0667E-21  3.5333E-21
2794.9  9.7400E-21  6.4933E-21  3.2467E-21
2798  8.9800E-21  5.9867E-21  2.9933E-21
2801.2  8.2700E-21  5.5133E-21  2.7567E-21
2804.4  7.6000E-21  5.0667E-21  2.5333E-21
2807.5  6.9700E-21  4.6467E-21  2.3233E-21
2810.7  6.3900E-21  4.2600E-21  2.1300E-21
2813.9  5.8400E-21  3.8933E-21  1.9467E-21
2817.1  5.3300E-21  3.5533E-21  1.7767E-21
2820.3  4.8400E-21  3.2267E-21  1.6133E-21
2823.5  4.3900E-21  2.9267E-21  1.4633E-21
2826.8  3.9700E-21  2.6467E-21  1.3233E-21
2830  3.5800E-21  2.3867E-21  1.1933E-21
2833.2  3.2100E-21  2.1400E-21  1.0700E-21
2836.5  2.8700E-21  1.9133E-21  9.5667E-22
2839.7  2.5600E-21  1.7067E-21  8.5333E-22
2843  2.2600E-21  1.5067E-21  7.5333E-22
2846.2  1.9900E-21  1.3267E-21  6.6333E-22
2849.5  1.7500E-21  1.1667E-21  5.8333E-22
2852.8  1.5200E-21  1.0133E-21  5.0667E-22
2856.1  1.3200E-21  8.8000E-22  4.4000E-22
2859.3  1.1300E-21  7.5333E-22  3.7667E-22
2862.6  9.6600E-22  6.4400E-22  3.2200E-22
2866  8.1900E-22  5.4600E-22  2.7300E-22
2869.3  6.8900E-22  4.5933E-22  2.2967E-22
2872.6  5.7600E-22  3.8400E-22  1.9200E-22
2875.9  4.7800E-22  3.1867E-22  1.5933E-22
2879.3  3.9300E-22  2.6200E-22  1.3100E-22
2882.6  3.2100E-22  2.1400E-22  1.0700E-22
2886  2.6000E-22  1.7333E-22  8.6667E-23
2889.3  2.0900E-22  1.3933E-22  6.9667E-23
2892.7  1.6600E-22  1.1067E-22  5.5333E-23
2896.1  1.3100E-22  8.7333E-23  4.3667E-23
2899.5  1.0300E-22  6.8667E-23  3.4333E-23
2902.9  8.0000E-23  5.3333E-23  2.6667E-23
2906.3  6.1000E-23  4.0667E-23  2.0333E-23
2909.7  4.7000E-23  3.1333E-23  1.5667E-23
2913.1  3.5000E-23  2.3333E-23  1.1667E-23
2916.5  2.6000E-23  1.7333E-23  8.6667E-24
2920  2.0000E-23  1.3333E-23  6.6667E-24
2923.4  1.4000E-23  9.3333E-24  4.6667E-24
2926.8  1.0000E-23  6.6667E-24  3.3333E-24
2930.3  8.0000E-24  5.3333E-24  2.6667E-24
2933.8  5.0000E-24  3.3333E-24  1.6667E-24
2937.2  4.0000E-24  2.6667E-24  1.3333E-24
2940.7  3.0000E-24  2.0000E-24  1.0000E-24
2944.2  2.0000E-24  1.3333E-24  6.6667E-25
2947.7  1.0000E-24  6.6667E-25  3.3333E-25
2951.2  1.0000E-24  6.6667E-25  3.3333E-25
2954.7  1.0000E-24  6.6667E-25  3.3333E-25
3102.6  0.0000E+00  0.0000E+00  0.0000E+00
3106.5  1.0000E-24  6.6667E-25  3.3333E-25
3110.4  1.0000E-24  6.6667E-25  3.3333E-25
3114.3  2.0000E-24  1.3333E-24  6.6667E-25
3118.2  3.0000E-24  2.0000E-24  1.0000E-24
3122.2  5.0000E-24  3.3333E-24  1.6667E-24
3126.1  9.0000E-24  6.0000E-24  3.0000E-24
3130  1.4000E-23  9.3333E-24  4.6667E-24
3134  2.1000E-23  1.4000E-23  7.0000E-24
3138  3.3000E-23  2.2000E-23  1.1000E-23
3141.9  5.0000E-23  3.3333E-23  1.6667E-23
3145.9  7.6000E-23  5.0667E-23  2.5333E-23
3149.9  1.1400E-22  7.6000E-23  3.8000E-23
3153.9  1.6900E-22  1.1267E-22  5.6333E-23
3157.9  2.4800E-22  1.6533E-22  8.2667E-23
3162  3.6200E-22  2.4133E-22  1.2067E-22
3166  5.2200E-22  3.4800E-22  1.7400E-22
3170.1  7.4700E-22  4.9800E-22  2.4900E-22
3174.1  1.0600E-21  7.0667E-22  3.5333E-22
3178.2  1.4800E-21  9.8667E-22  4.9333E-22
3182.3  2.0600E-21  1.3733E-21  6.8667E-22
3186.4  2.8300E-21  1.8867E-21  9.4333E-22
3190.5  3.8600E-21  2.5733E-21  1.2867E-21
3194.6  5.2100E-21  3.4733E-21  1.7367E-21
3198.7  6.9700E-21  4.6467E-21  2.3233E-21
3202.8  9.2400E-21  6.1600E-21  3.0800E-21
3207  1.2100E-20  8.0667E-21  4.0333E-21
3211.1  1.5800E-20  1.0533E-20  5.2667E-21
3215.3  2.0300E-20  1.3533E-20  6.7667E-21
3219.4  2.6000E-20  1.7333E-20  8.6667E-21
3223.6  3.2800E-20  2.1867E-20  1.0933E-20
3227.8  4.1200E-20  2.7467E-20  1.3733E-20
3232  5.1200E-20  3.4133E-20  1.7067E-20
3236.3  6.3100E-20  4.2067E-20  2.1033E-20
3240.5  7.7000E-20  5.1333E-20  2.5667E-20
3244.7  9.3300E-20  6.2200E-20  3.1100E-20
3249  1.1200E-19  7.4667E-20  3.7333E-20
3253.2  1.3300E-19  8.8667E-20  4.4333E-20
3257.5  1.5800E-19  1.0533E-19  5.2667E-20
3261.8  1.8500E-19  1.2333E-19  6.1667E-20
3266.1  2.1500E-19  1.4333E-19  7.1667E-20
3270.4  2.4800E-19  1.6533E-19  8.2667E-20
3274.7  2.8400E-19  1.8933E-19  9.4667E-20
3279.1  3.2300E-19  2.1533E-19  1.0767E-19
3283.4  3.6500E-19  2.4333E-19  1.2167E-19
3287.7  4.1000E-19  2.7333E-19  1.3667E-19
3292.1  4.5800E-19  3.0533E-19  1.5267E-19
3296.5  5.0800E-19  3.3867E-19  1.6933E-19
3300.9  5.6200E-19  3.7467E-19  1.8733E-19
3305.3  6.1800E-19  4.1200E-19  2.0600E-19
3309.7  6.7600E-19  4.5067E-19  2.2533E-19
3314.1  7.3800E-19  4.9200E-19  2.4600E-19
3318.5  8.0200E-19  5.3467E-19  2.6733E-19
3323  8.7000E-19  5.8000E-19  2.9000E-19
