0          References for Cross Section of 34S34SO       
           Frandsen et al., 2020 (S2O-No isotope)   
0 Branching ratio for 34S34SO       Total        1 branch
Lambda  Total   34S/34SO
2196.7  2.92E-21  2.92E-21
2198.7  2.69E-21  2.69E-21
2200.6  2.48E-21  2.48E-21
2202.6  2.28E-21  2.28E-21
2204.5  2.09E-21  2.09E-21
2206.5  1.90E-21  1.90E-21
2208.4  1.73E-21  1.73E-21
2210.4  1.57E-21  1.57E-21
2212.4  1.42E-21  1.42E-21
2214.4  1.28E-21  1.28E-21
2216.3  1.16E-21  1.16E-21
2218.3  1.04E-21  1.04E-21
2220.3  9.36E-22  9.36E-22
2222.3  8.42E-22  8.42E-22
2224.3  7.58E-22  7.58E-22
2226.3  6.83E-22  6.83E-22
2228.3  6.18E-22  6.18E-22
2230.3  5.60E-22  5.60E-22
2232.3  5.10E-22  5.10E-22
2234.3  4.66E-22  4.66E-22
2236.3  4.27E-22  4.27E-22
2238.3  3.93E-22  3.93E-22
2240.4  3.63E-22  3.63E-22
2242.4  3.36E-22  3.36E-22
2244.4  3.11E-22  3.11E-22
2246.5  2.88E-22  2.88E-22
2248.5  2.66E-22  2.66E-22
2250.5  2.46E-22  2.46E-22
2252.6  2.26E-22  2.26E-22
2254.6  2.08E-22  2.08E-22
2256.7  1.89E-22  1.89E-22
2258.7  1.72E-22  1.72E-22
2260.8  1.55E-22  1.55E-22
2262.9  1.38E-22  1.38E-22
2264.9  1.23E-22  1.23E-22
2267  1.08E-22  1.08E-22
2269.1  9.50E-23  9.50E-23
2271.1  8.20E-23  8.20E-23
2273.2  7.00E-23  7.00E-23
2275.3  6.00E-23  6.00E-23
2277.4  5.00E-23  5.00E-23
2279.5  4.20E-23  4.20E-23
2281.6  3.50E-23  3.50E-23
2283.7  2.90E-23  2.90E-23
2285.8  2.30E-23  2.30E-23
2287.9  1.90E-23  1.90E-23
2290  1.50E-23  1.50E-23
2292.1  1.20E-23  1.20E-23
2294.3  9.00E-24  9.00E-24
2296.4  7.00E-24  7.00E-24
2298.5  5.00E-24  5.00E-24
2300.6  4.00E-24  4.00E-24
2302.8  3.00E-24  3.00E-24
2304.9  2.00E-24  2.00E-24
2307.1  2.00E-24  2.00E-24
2309.2  1.00E-24  1.00E-24
2311.4  1.00E-24  1.00E-24
2313.5  1.00E-24  1.00E-24
2315.7  1.00E-24  1.00E-24
2317.9  1.00E-24  1.00E-24
2320  2.00E-24  2.00E-24
2322.2  2.00E-24  2.00E-24
2324.4  3.00E-24  3.00E-24
2326.6  5.00E-24  5.00E-24
2328.7  8.00E-24  8.00E-24
2330.9  1.20E-23  1.20E-23
2333.1  1.70E-23  1.70E-23
2335.3  2.60E-23  2.60E-23
2337.5  3.80E-23  3.80E-23
2339.7  5.40E-23  5.40E-23
2341.9  7.80E-23  7.80E-23
2344.1  1.10E-22  1.10E-22
2346.4  1.55E-22  1.55E-22
2348.6  2.16E-22  2.16E-22
2350.8  2.97E-22  2.97E-22
2353  4.05E-22  4.05E-22
2355.3  5.48E-22  5.48E-22
2357.5  7.33E-22  7.33E-22
2359.8  9.71E-22  9.71E-22
2362  1.27E-21  1.27E-21
2364.3  1.66E-21  1.66E-21
2366.5  2.13E-21  2.13E-21
2368.8  2.72E-21  2.72E-21
2371  3.44E-21  3.44E-21
2373.3  4.31E-21  4.31E-21
2375.6  5.35E-21  5.35E-21
2377.9  6.58E-21  6.58E-21
2380.1  8.03E-21  8.03E-21
2382.4  9.71E-21  9.71E-21
2384.7  1.16E-20  1.16E-20
2387  1.38E-20  1.38E-20
2389.3  1.63E-20  1.63E-20
2391.6  1.91E-20  1.91E-20
2393.9  2.22E-20  2.22E-20
2396.2  2.57E-20  2.57E-20
2398.6  2.94E-20  2.94E-20
2400.9  3.35E-20  3.35E-20
2403.2  3.80E-20  3.80E-20
2405.5  4.28E-20  4.28E-20
2407.9  4.79E-20  4.79E-20
2410.2  5.35E-20  5.35E-20
2412.6  5.94E-20  5.94E-20
2414.9  6.58E-20  6.58E-20
2417.3  7.25E-20  7.25E-20
2419.6  7.98E-20  7.98E-20
2422  8.75E-20  8.75E-20
2424.4  9.57E-20  9.57E-20
2426.7  1.04E-19  1.04E-19
2429.1  1.14E-19  1.14E-19
2431.5  1.24E-19  1.24E-19
2433.9  1.34E-19  1.34E-19
2436.3  1.46E-19  1.46E-19
2438.7  1.57E-19  1.57E-19
2441.1  1.70E-19  1.70E-19
2443.5  1.83E-19  1.83E-19
2445.9  1.98E-19  1.98E-19
2448.3  2.12E-19  2.12E-19
2450.7  2.28E-19  2.28E-19
2453.1  2.45E-19  2.45E-19
2455.6  2.62E-19  2.62E-19
2458  2.80E-19  2.80E-19
2460.4  3.00E-19  3.00E-19
2462.9  3.20E-19  3.20E-19
2465.3  3.42E-19  3.42E-19
2467.8  3.66E-19  3.66E-19
2470.2  3.91E-19  3.91E-19
2472.7  4.17E-19  4.17E-19
2475.2  4.46E-19  4.46E-19
2477.7  4.76E-19  4.76E-19
2480.1  5.09E-19  5.09E-19
2482.6  5.44E-19  5.44E-19
2485.1  5.81E-19  5.81E-19
2487.6  6.21E-19  6.21E-19
2490.1  6.64E-19  6.64E-19
2492.6  7.10E-19  7.10E-19
2495.1  7.59E-19  7.59E-19
2497.6  8.11E-19  8.11E-19
2500.1  8.66E-19  8.66E-19
2502.7  9.25E-19  9.25E-19
2505.2  9.88E-19  9.88E-19
2507.7  1.05E-18  1.05E-18
2510.3  1.12E-18  1.12E-18
2512.8  1.20E-18  1.20E-18
2515.4  1.28E-18  1.28E-18
2517.9  1.36E-18  1.36E-18
2520.5  1.44E-18  1.44E-18
2523  1.53E-18  1.53E-18
2525.6  1.63E-18  1.63E-18
2528.2  1.72E-18  1.72E-18
2530.8  1.83E-18  1.83E-18
2533.3  1.93E-18  1.93E-18
2535.9  2.04E-18  2.04E-18
2538.5  2.15E-18  2.15E-18
2541.1  2.26E-18  2.26E-18
2543.7  2.37E-18  2.37E-18
2546.3  2.48E-18  2.48E-18
2549  2.59E-18  2.59E-18
2551.6  2.70E-18  2.70E-18
2554.2  2.81E-18  2.81E-18
2556.8  2.91E-18  2.91E-18
2559.5  3.02E-18  3.02E-18
2562.1  3.12E-18  3.12E-18
2564.8  3.21E-18  3.21E-18
2567.4  3.31E-18  3.31E-18
