0          References for Cross Section of 34S36SO        
           Frandsen et al., 2020 (S2O-No isotope)   
0 Branching ratio for 34S36SO       Total        2 branches
Lambda  Total   34S/36SO   36S/34SO
2196.7  2.920E-21  1.460E-21  1.460E-21
2198.7  2.690E-21  1.345E-21  1.345E-21
2200.6  2.480E-21  1.240E-21  1.240E-21
2202.6  2.280E-21  1.140E-21  1.140E-21
2204.5  2.090E-21  1.045E-21  1.045E-21
2206.5  1.900E-21  9.500E-22  9.500E-22
2208.4  1.730E-21  8.650E-22  8.650E-22
2210.4  1.570E-21  7.850E-22  7.850E-22
2212.4  1.420E-21  7.100E-22  7.100E-22
2214.4  1.280E-21  6.400E-22  6.400E-22
2216.3  1.160E-21  5.800E-22  5.800E-22
2218.3  1.040E-21  5.200E-22  5.200E-22
2220.3  9.360E-22  4.680E-22  4.680E-22
2222.3  8.420E-22  4.210E-22  4.210E-22
2224.3  7.580E-22  3.790E-22  3.790E-22
2226.3  6.830E-22  3.415E-22  3.415E-22
2228.3  6.180E-22  3.090E-22  3.090E-22
2230.3  5.600E-22  2.800E-22  2.800E-22
2232.3  5.100E-22  2.550E-22  2.550E-22
2234.3  4.660E-22  2.330E-22  2.330E-22
2236.3  4.270E-22  2.135E-22  2.135E-22
2238.3  3.930E-22  1.965E-22  1.965E-22
2240.4  3.630E-22  1.815E-22  1.815E-22
2242.4  3.360E-22  1.680E-22  1.680E-22
2244.4  3.110E-22  1.555E-22  1.555E-22
2246.5  2.880E-22  1.440E-22  1.440E-22
2248.5  2.660E-22  1.330E-22  1.330E-22
2250.5  2.460E-22  1.230E-22  1.230E-22
2252.6  2.260E-22  1.130E-22  1.130E-22
2254.6  2.080E-22  1.040E-22  1.040E-22
2256.7  1.890E-22  9.450E-23  9.450E-23
2258.7  1.720E-22  8.600E-23  8.600E-23
2260.8  1.550E-22  7.750E-23  7.750E-23
2262.9  1.380E-22  6.900E-23  6.900E-23
2264.9  1.230E-22  6.150E-23  6.150E-23
2267  1.080E-22  5.400E-23  5.400E-23
2269.1  9.500E-23  4.750E-23  4.750E-23
2271.1  8.200E-23  4.100E-23  4.100E-23
2273.2  7.000E-23  3.500E-23  3.500E-23
2275.3  6.000E-23  3.000E-23  3.000E-23
2277.4  5.000E-23  2.500E-23  2.500E-23
2279.5  4.200E-23  2.100E-23  2.100E-23
2281.6  3.500E-23  1.750E-23  1.750E-23
2283.7  2.900E-23  1.450E-23  1.450E-23
2285.8  2.300E-23  1.150E-23  1.150E-23
2287.9  1.900E-23  9.500E-24  9.500E-24
2290  1.500E-23  7.500E-24  7.500E-24
2292.1  1.200E-23  6.000E-24  6.000E-24
2294.3  9.000E-24  4.500E-24  4.500E-24
2296.4  7.000E-24  3.500E-24  3.500E-24
2298.5  5.000E-24  2.500E-24  2.500E-24
2300.6  4.000E-24  2.000E-24  2.000E-24
2302.8  3.000E-24  1.500E-24  1.500E-24
2304.9  2.000E-24  1.000E-24  1.000E-24
2307.1  2.000E-24  1.000E-24  1.000E-24
2309.2  1.000E-24  5.000E-25  5.000E-25
2311.4  1.000E-24  5.000E-25  5.000E-25
2313.5  1.000E-24  5.000E-25  5.000E-25
2315.7  1.000E-24  5.000E-25  5.000E-25
2317.9  1.000E-24  5.000E-25  5.000E-25
2320  2.000E-24  1.000E-24  1.000E-24
2322.2  2.000E-24  1.000E-24  1.000E-24
2324.4  3.000E-24  1.500E-24  1.500E-24
2326.6  5.000E-24  2.500E-24  2.500E-24
2328.7  8.000E-24  4.000E-24  4.000E-24
2330.9  1.200E-23  6.000E-24  6.000E-24
2333.1  1.700E-23  8.500E-24  8.500E-24
2335.3  2.600E-23  1.300E-23  1.300E-23
2337.5  3.800E-23  1.900E-23  1.900E-23
2339.7  5.400E-23  2.700E-23  2.700E-23
2341.9  7.800E-23  3.900E-23  3.900E-23
2344.1  1.100E-22  5.500E-23  5.500E-23
2346.4  1.550E-22  7.750E-23  7.750E-23
2348.6  2.160E-22  1.080E-22  1.080E-22
2350.8  2.970E-22  1.485E-22  1.485E-22
2353  4.050E-22  2.025E-22  2.025E-22
2355.3  5.480E-22  2.740E-22  2.740E-22
2357.5  7.330E-22  3.665E-22  3.665E-22
2359.8  9.710E-22  4.855E-22  4.855E-22
2362  1.270E-21  6.350E-22  6.350E-22
2364.3  1.660E-21  8.300E-22  8.300E-22
2366.5  2.130E-21  1.065E-21  1.065E-21
2368.8  2.720E-21  1.360E-21  1.360E-21
2371  3.440E-21  1.720E-21  1.720E-21
2373.3  4.310E-21  2.155E-21  2.155E-21
2375.6  5.350E-21  2.675E-21  2.675E-21
2377.9  6.580E-21  3.290E-21  3.290E-21
2380.1  8.030E-21  4.015E-21  4.015E-21
2382.4  9.710E-21  4.855E-21  4.855E-21
2384.7  1.160E-20  5.800E-21  5.800E-21
2387  1.380E-20  6.900E-21  6.900E-21
2389.3  1.630E-20  8.150E-21  8.150E-21
2391.6  1.910E-20  9.550E-21  9.550E-21
2393.9  2.220E-20  1.110E-20  1.110E-20
2396.2  2.570E-20  1.285E-20  1.285E-20
2398.6  2.940E-20  1.470E-20  1.470E-20
2400.9  3.350E-20  1.675E-20  1.675E-20
2403.2  3.800E-20  1.900E-20  1.900E-20
2405.5  4.280E-20  2.140E-20  2.140E-20
2407.9  4.790E-20  2.395E-20  2.395E-20
2410.2  5.350E-20  2.675E-20  2.675E-20
2412.6  5.940E-20  2.970E-20  2.970E-20
2414.9  6.580E-20  3.290E-20  3.290E-20
2417.3  7.250E-20  3.625E-20  3.625E-20
2419.6  7.980E-20  3.990E-20  3.990E-20
2422  8.750E-20  4.375E-20  4.375E-20
2424.4  9.570E-20  4.785E-20  4.785E-20
2426.7  1.040E-19  5.200E-20  5.200E-20
2429.1  1.140E-19  5.700E-20  5.700E-20
2431.5  1.240E-19  6.200E-20  6.200E-20
2433.9  1.340E-19  6.700E-20  6.700E-20
2436.3  1.460E-19  7.300E-20  7.300E-20
2438.7  1.570E-19  7.850E-20  7.850E-20
2441.1  1.700E-19  8.500E-20  8.500E-20
2443.5  1.830E-19  9.150E-20  9.150E-20
2445.9  1.980E-19  9.900E-20  9.900E-20
2448.3  2.120E-19  1.060E-19  1.060E-19
2450.7  2.280E-19  1.140E-19  1.140E-19
2453.1  2.450E-19  1.225E-19  1.225E-19
2455.6  2.620E-19  1.310E-19  1.310E-19
2458  2.800E-19  1.400E-19  1.400E-19
2460.4  3.000E-19  1.500E-19  1.500E-19
2462.9  3.200E-19  1.600E-19  1.600E-19
2465.3  3.420E-19  1.710E-19  1.710E-19
2467.8  3.660E-19  1.830E-19  1.830E-19
2470.2  3.910E-19  1.955E-19  1.955E-19
2472.7  4.170E-19  2.085E-19  2.085E-19
2475.2  4.460E-19  2.230E-19  2.230E-19
2477.7  4.760E-19  2.380E-19  2.380E-19
2480.1  5.090E-19  2.545E-19  2.545E-19
2482.6  5.440E-19  2.720E-19  2.720E-19
2485.1  5.810E-19  2.905E-19  2.905E-19
2487.6  6.210E-19  3.105E-19  3.105E-19
2490.1  6.640E-19  3.320E-19  3.320E-19
2492.6  7.100E-19  3.550E-19  3.550E-19
2495.1  7.590E-19  3.795E-19  3.795E-19
2497.6  8.110E-19  4.055E-19  4.055E-19
2500.1  8.660E-19  4.330E-19  4.330E-19
2502.7  9.250E-19  4.625E-19  4.625E-19
2505.2  9.880E-19  4.940E-19  4.940E-19
2507.7  1.050E-18  5.250E-19  5.250E-19
2510.3  1.120E-18  5.600E-19  5.600E-19
2512.8  1.200E-18  6.000E-19  6.000E-19
2515.4  1.280E-18  6.400E-19  6.400E-19
2517.9  1.360E-18  6.800E-19  6.800E-19
2520.5  1.440E-18  7.200E-19  7.200E-19
2523  1.530E-18  7.650E-19  7.650E-19
2525.6  1.630E-18  8.150E-19  8.150E-19
2528.2  1.720E-18  8.600E-19  8.600E-19
2530.8  1.830E-18  9.150E-19  9.150E-19
2533.3  1.930E-18  9.650E-19  9.650E-19
2535.9  2.040E-18  1.020E-18  1.020E-18
2538.5  2.150E-18  1.075E-18  1.075E-18
2541.1  2.260E-18  1.130E-18  1.130E-18
2543.7  2.370E-18  1.185E-18  1.185E-18
2546.3  2.480E-18  1.240E-18  1.240E-18
2549  2.590E-18  1.295E-18  1.295E-18
2551.6  2.700E-18  1.350E-18  1.350E-18
2554.2  2.810E-18  1.405E-18  1.405E-18
2556.8  2.910E-18  1.455E-18  1.455E-18
2559.5  3.020E-18  1.510E-18  1.510E-18
2562.1  3.120E-18  1.560E-18  1.560E-18
2564.8  3.210E-18  1.605E-18  1.605E-18
2567.4  3.310E-18  1.655E-18  1.655E-18
2570.1  3.400E-18  1.700E-18  1.700E-18
2572.8  3.490E-18  1.745E-18  1.745E-18
2575.4  3.580E-18  1.790E-18  1.790E-18
2578.1  3.680E-18  1.840E-18  1.840E-18
2580.8  3.770E-18  1.885E-18  1.885E-18
2583.5  3.870E-18  1.935E-18  1.935E-18
2586.2  3.970E-18  1.985E-18  1.985E-18
2588.9  4.080E-18  2.040E-18  2.040E-18
2591.6  4.200E-18  2.100E-18  2.100E-18
2594.3  4.330E-18  2.165E-18  2.165E-18
2597  4.470E-18  2.235E-18  2.235E-18
2599.7  4.630E-18  2.315E-18  2.315E-18
2602.5  4.800E-18  2.400E-18  2.400E-18
2605.2  4.990E-18  2.495E-18  2.495E-18
2607.9  5.200E-18  2.600E-18  2.600E-18
2610.7  5.420E-18  2.710E-18  2.710E-18
2613.4  5.660E-18  2.830E-18  2.830E-18
2616.2  5.920E-18  2.960E-18  2.960E-18
2619  6.190E-18  3.095E-18  3.095E-18
2621.7  6.480E-18  3.240E-18  3.240E-18
2624.5  6.780E-18  3.390E-18  3.390E-18
2627.3  7.090E-18  3.545E-18  3.545E-18
2630.1  7.410E-18  3.705E-18  3.705E-18
2632.9  7.730E-18  3.865E-18  3.865E-18
2635.7  8.060E-18  4.030E-18  4.030E-18
2638.5  8.390E-18  4.195E-18  4.195E-18
2641.3  8.720E-18  4.360E-18  4.360E-18
2644.1  9.050E-18  4.525E-18  4.525E-18
2646.9  9.370E-18  4.685E-18  4.685E-18
2649.7  9.680E-18  4.840E-18  4.840E-18
2652.6  9.980E-18  4.990E-18  4.990E-18
2655.4  1.030E-17  5.150E-18  5.150E-18
2658.3  1.060E-17  5.300E-18  5.300E-18
2661.1  1.080E-17  5.400E-18  5.400E-18
2664  1.110E-17  5.550E-18  5.550E-18
2666.8  1.130E-17  5.650E-18  5.650E-18
2669.7  1.160E-17  5.800E-18  5.800E-18
2672.6  1.180E-17  5.900E-18  5.900E-18
2675.5  1.200E-17  6.000E-18  6.000E-18
2678.4  1.220E-17  6.100E-18  6.100E-18
2681.3  1.250E-17  6.250E-18  6.250E-18
2684.2  1.270E-17  6.350E-18  6.350E-18
2687.1  1.290E-17  6.450E-18  6.450E-18
2690  1.310E-17  6.550E-18  6.550E-18
2692.9  1.330E-17  6.650E-18  6.650E-18
2695.8  1.350E-17  6.750E-18  6.750E-18
2698.8  1.370E-17  6.850E-18  6.850E-18
2701.7  1.390E-17  6.950E-18  6.950E-18
2704.7  1.410E-17  7.050E-18  7.050E-18
2707.6  1.430E-17  7.150E-18  7.150E-18
2710.6  1.450E-17  7.250E-18  7.250E-18
2713.5  1.470E-17  7.350E-18  7.350E-18
2716.5  1.490E-17  7.450E-18  7.450E-18
2719.5  1.510E-17  7.550E-18  7.550E-18
2722.5  1.520E-17  7.600E-18  7.600E-18
2725.5  1.540E-17  7.700E-18  7.700E-18
2728.5  1.560E-17  7.800E-18  7.800E-18
2731.5  1.570E-17  7.850E-18  7.850E-18
2734.5  1.590E-17  7.950E-18  7.950E-18
2737.5  1.600E-17  8.000E-18  8.000E-18
2740.5  1.620E-17  8.100E-18  8.100E-18
2743.6  1.630E-17  8.150E-18  8.150E-18
2746.6  1.650E-17  8.250E-18  8.250E-18
2749.6  1.660E-17  8.300E-18  8.300E-18
2752.7  1.670E-17  8.350E-18  8.350E-18
2755.8  1.680E-17  8.400E-18  8.400E-18
2758.8  1.690E-17  8.450E-18  8.450E-18
2761.9  1.700E-17  8.500E-18  8.500E-18
2765  1.710E-17  8.550E-18  8.550E-18
2768.1  1.720E-17  8.600E-18  8.600E-18
2771.2  1.730E-17  8.650E-18  8.650E-18
2774.3  1.740E-17  8.700E-18  8.700E-18
2777.4  1.750E-17  8.750E-18  8.750E-18
2780.5  1.760E-17  8.800E-18  8.800E-18
2783.6  1.770E-17  8.850E-18  8.850E-18
2786.7  1.780E-17  8.900E-18  8.900E-18
2789.9  1.780E-17  8.900E-18  8.900E-18
2793  1.790E-17  8.950E-18  8.950E-18
2796.2  1.790E-17  8.950E-18  8.950E-18
2799.3  1.800E-17  9.000E-18  9.000E-18
2802.5  1.800E-17  9.000E-18  9.000E-18
2805.6  1.800E-17  9.000E-18  9.000E-18
2808.8  1.800E-17  9.000E-18  9.000E-18
2812  1.800E-17  9.000E-18  9.000E-18
2815.2  1.800E-17  9.000E-18  9.000E-18
2818.4  1.790E-17  8.950E-18  8.950E-18
2821.6  1.790E-17  8.950E-18  8.950E-18
2824.8  1.780E-17  8.900E-18  8.900E-18
2828  1.770E-17  8.850E-18  8.850E-18
2831.3  1.760E-17  8.800E-18  8.800E-18
2834.5  1.750E-17  8.750E-18  8.750E-18
2837.8  1.740E-17  8.700E-18  8.700E-18
2841  1.720E-17  8.600E-18  8.600E-18
2844.3  1.710E-17  8.550E-18  8.550E-18
2847.5  1.700E-17  8.500E-18  8.500E-18
2850.8  1.680E-17  8.400E-18  8.400E-18
2854.1  1.670E-17  8.350E-18  8.350E-18
2857.4  1.650E-17  8.250E-18  8.250E-18
2860.7  1.640E-17  8.200E-18  8.200E-18
2864  1.620E-17  8.100E-18  8.100E-18
2867.3  1.610E-17  8.050E-18  8.050E-18
