0          References for Cross Section of 34SO        34S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1843.03898  3.73E-19  3.73E-19
1844.55265  6.79E-19  6.79E-19
1845.831829  9.33E-19  9.33E-19
1846.920296  1.08E-18  1.08E-18
1847.905752  1.22E-18  1.22E-18
1848.813853  1.34E-18  1.34E-18
1849.669863  1.41E-18  1.41E-18
1850.48145  1.49E-18  1.49E-18
1851.25755  1.58E-18  1.58E-18
1852.005774  1.65E-18  1.65E-18
1852.72234  1.70E-18  1.70E-18
1853.417187  1.73E-18  1.73E-18
1854.103197  1.81E-18  1.81E-18
1854.755303  1.85E-18  1.85E-18
1855.400761  1.87E-18  1.87E-18
1856.026592  1.91E-18  1.91E-18
1856.638408  1.95E-18  1.95E-18
1857.248472  2.00E-18  2.00E-18
1857.847124  2.01E-18  2.01E-18
1858.422621  2.04E-18  2.04E-18
1858.990307  2.06E-18  2.06E-18
1859.558519  2.09E-18  2.09E-18
1860.121738  2.13E-18  2.13E-18
1860.657229  2.14E-18  2.14E-18
1861.195127  2.16E-18  2.16E-18
1861.741296  2.17E-18  2.17E-18
1862.260201  2.20E-18  2.20E-18
1862.774723  2.24E-18  2.24E-18
1863.294987  2.25E-18  2.25E-18
1863.803047  2.26E-18  2.26E-18
1864.300159  2.27E-18  2.27E-18
1864.801095  2.28E-18  2.28E-18
1865.294774  2.32E-18  2.32E-18
1865.779263  2.35E-18  2.35E-18
1866.260853  2.35E-18  2.35E-18
1866.740863  2.36E-18  2.36E-18
1867.216011  2.37E-18  2.37E-18
1867.683095  2.38E-18  2.38E-18
1868.154713  2.40E-18  2.40E-18
1868.609223  2.44E-18  2.44E-18
1869.074317  2.46E-18  2.46E-18
1869.523393  2.45E-18  2.45E-18
1869.976688  2.45E-18  2.45E-18
1870.436411  2.46E-18  2.46E-18
1870.859148  2.48E-18  2.48E-18
1871.321452  2.51E-18  2.51E-18
1871.741743  2.53E-18  2.53E-18
1872.197364  2.54E-18  2.54E-18
1872.611151  2.53E-18  2.53E-18
1873.055695  2.53E-18  2.53E-18
1873.476432  2.55E-18  2.55E-18
1873.902177  2.58E-18  2.58E-18
1874.328823  2.61E-18  2.61E-18
1874.736606  2.61E-18  2.61E-18
1875.167577  2.62E-18  2.62E-18
1875.572401  2.62E-18  2.62E-18
1875.995804  2.61E-18  2.61E-18
1876.390563  2.64E-18  2.64E-18
1876.813444  2.66E-18  2.66E-18
1877.206708  2.69E-18  2.69E-18
1877.627629  2.71E-18  2.71E-18
1878.009239  2.70E-18  2.70E-18
1878.426433  2.70E-18  2.70E-18
1878.808129  2.70E-18  2.70E-18
1879.222136  2.71E-18  2.71E-18
1879.602776  2.74E-18  2.74E-18
1880.002166  2.77E-18  2.77E-18
1880.38328  2.79E-18  2.79E-18
1880.777682  2.79E-18  2.79E-18
1881.145003  2.78E-18  2.78E-18
1881.52319  2.78E-18  2.78E-18
1881.830057  2.79E-18  2.79E-18
1882.19011  2.81E-18  2.81E-18
1882.488692  2.84E-18  2.84E-18
1882.813514  2.86E-18  2.86E-18
1883.138631  2.87E-18  2.87E-18
1883.417193  2.87E-18  2.87E-18
1883.746402  2.88E-18  2.88E-18
1884.024991  2.87E-18  2.87E-18
1884.315927  2.87E-18  2.87E-18
1884.623982  2.87E-18  2.87E-18
1884.885391  2.89E-18  2.89E-18
1885.192358  2.91E-18  2.91E-18
1885.472327  2.94E-18  2.94E-18
1885.729463  2.96E-18  2.96E-18
1886.026254  2.98E-18  2.98E-18
1886.294596  2.97E-18  2.97E-18
1886.551695  2.97E-18  2.97E-18
1886.836898  2.97E-18  2.97E-18
1887.102824  2.97E-18  2.97E-18
1887.354501  2.97E-18  2.97E-18
1887.631596  2.97E-18  2.97E-18
1887.892927  2.99E-18  2.99E-18
1888.134861  3.02E-18  3.02E-18
1888.401974  3.03E-18  3.03E-18
1888.6653  3.05E-18  3.05E-18
1888.907031  3.06E-18  3.06E-18
1889.159815  3.08E-18  3.08E-18
1889.423204  3.07E-18  3.07E-18
1889.666762  3.05E-18  3.05E-18
1889.909553  3.05E-18  3.05E-18
1890.160168  3.05E-18  3.05E-18
1890.405795  3.06E-18  3.06E-18
1890.644809  3.07E-18  3.07E-18
1890.889412  3.10E-18  3.10E-18
1891.132946  3.13E-18  3.13E-18
1891.370862  3.14E-18  3.14E-18
1891.615548  3.16E-18  3.16E-18
1891.850131  3.15E-18  3.15E-18
1892.086513  3.15E-18  3.15E-18
1892.323289  3.16E-18  3.16E-18
1892.555088  3.15E-18  3.15E-18
1892.789532  3.14E-18  3.14E-18
1893.017912  3.14E-18  3.14E-18
1893.251167  3.14E-18  3.14E-18
1893.4863  3.17E-18  3.17E-18
1893.714263  3.18E-18  3.18E-18
1893.941775  3.20E-18  3.20E-18
1894.16865  3.23E-18  3.23E-18
1894.400154  3.25E-18  3.25E-18
1894.621579  3.26E-18  3.26E-18
1894.842422  3.26E-18  3.26E-18
1895.071303  3.24E-18  3.24E-18
1895.293708  3.24E-18  3.24E-18
1895.511596  3.24E-18  3.24E-18
1895.738028  3.24E-18  3.24E-18
1895.961826  3.24E-18  3.24E-18
1896.179503  3.24E-18  3.24E-18
1896.390674  3.25E-18  3.25E-18
1896.61987  3.29E-18  3.29E-18
1896.840337  3.31E-18  3.31E-18
1897.044053  3.32E-18  3.32E-18
1897.262835  3.33E-18  3.33E-18
1897.485983  3.33E-18  3.33E-18
1897.696465  3.34E-18  3.34E-18
1897.902143  3.35E-18  3.35E-18
1898.125967  3.33E-18  3.33E-18
1898.341914  3.32E-18  3.32E-18
1898.549342  3.32E-18  3.32E-18
1898.75423  3.31E-18  3.31E-18
1898.975857  3.33E-18  3.33E-18
1899.188657  3.35E-18  3.35E-18
1899.384434  3.36E-18  3.36E-18
1899.590248  3.38E-18  3.38E-18
1899.813339  3.42E-18  3.42E-18
1900.024383  3.44E-18  3.44E-18
1900.212189  3.45E-18  3.45E-18
1900.419627  3.44E-18  3.44E-18
1900.642882  3.42E-18  3.42E-18
1900.847984  3.42E-18  3.42E-18
1901.036763  3.43E-18  3.43E-18
1901.245961  3.42E-18  3.42E-18
1901.465677  3.41E-18  3.41E-18
1901.661469  3.41E-18  3.41E-18
1901.845207  3.41E-18  3.41E-18
1902.055631  3.43E-18  3.43E-18
1902.272199  3.47E-18  3.47E-18
1902.467464  3.48E-18  3.48E-18
1902.652279  3.49E-18  3.49E-18
1902.862447  3.51E-18  3.51E-18
1903.071487  3.51E-18  3.51E-18
1903.266872  3.52E-18  3.52E-18
1903.450648  3.53E-18  3.53E-18
1903.658619  3.51E-18  3.51E-18
1903.867548  3.49E-18  3.49E-18
1904.063527  3.49E-18  3.49E-18
1904.241768  3.49E-18  3.49E-18
1904.441173  3.49E-18  3.49E-18
1904.648281  3.51E-18  3.51E-18
1904.846198  3.52E-18  3.52E-18
