0          References for Cross Section of 34SO3        
Sander 2011
0 Branching ratio for 34SO3      Total        1 branches
Lambda Total 34SO2/O 
1900  8.78E-19  8.78E-19
1900.5  8.76E-19  8.76E-19
1901  8.74E-19  8.74E-19
1901.5  8.72E-19  8.72E-19
1902  8.70E-19  8.70E-19
1902.5  8.69E-19  8.69E-19
1903  8.67E-19  8.67E-19
1903.5  8.65E-19  8.65E-19
1904  8.63E-19  8.63E-19
1904.5  8.61E-19  8.61E-19
1905  8.59E-19  8.59E-19
1905.5  8.57E-19  8.57E-19
1906  8.55E-19  8.55E-19
1906.5  8.53E-19  8.53E-19
1907  8.51E-19  8.51E-19
1907.5  8.50E-19  8.50E-19
1908  8.48E-19  8.48E-19
1908.5  8.46E-19  8.46E-19
1909  8.44E-19  8.44E-19
1909.5  8.42E-19  8.42E-19
1910  8.40E-19  8.40E-19
1910.5  8.38E-19  8.38E-19
1911  8.36E-19  8.36E-19
1911.5  8.34E-19  8.34E-19
1912  8.32E-19  8.32E-19
1912.5  8.31E-19  8.31E-19
1913  8.29E-19  8.29E-19
1913.5  8.27E-19  8.27E-19
1914  8.25E-19  8.25E-19
1914.5  8.23E-19  8.23E-19
1915  8.21E-19  8.21E-19
1915.5  8.19E-19  8.19E-19
1916  8.17E-19  8.17E-19
1916.5  8.15E-19  8.15E-19
1917  8.13E-19  8.13E-19
1917.5  8.12E-19  8.12E-19
1918  8.10E-19  8.10E-19
1918.5  8.08E-19  8.08E-19
1919  8.06E-19  8.06E-19
1919.5  8.04E-19  8.04E-19
1920  8.02E-19  8.02E-19
1920.5  8.01E-19  8.01E-19
1921  7.99E-19  7.99E-19
1921.5  7.98E-19  7.98E-19
1922  7.97E-19  7.97E-19
1922.5  7.96E-19  7.96E-19
1923  7.94E-19  7.94E-19
1923.5  7.93E-19  7.93E-19
1924  7.92E-19  7.92E-19
1924.5  7.90E-19  7.90E-19
1925  7.89E-19  7.89E-19
1925.5  7.88E-19  7.88E-19
1926  7.86E-19  7.86E-19
1926.5  7.85E-19  7.85E-19
1927  7.84E-19  7.84E-19
1927.5  7.83E-19  7.83E-19
1928  7.81E-19  7.81E-19
1928.5  7.80E-19  7.80E-19
1929  7.79E-19  7.79E-19
1929.5  7.77E-19  7.77E-19
1930  7.76E-19  7.76E-19
1930.5  7.75E-19  7.75E-19
1931  7.73E-19  7.73E-19
1931.5  7.72E-19  7.72E-19
1932  7.71E-19  7.71E-19
1932.5  7.70E-19  7.70E-19
1933  7.68E-19  7.68E-19
1933.5  7.67E-19  7.67E-19
1934  7.66E-19  7.66E-19
1934.5  7.64E-19  7.64E-19
1935  7.63E-19  7.63E-19
1935.5  7.62E-19  7.62E-19
1936  7.60E-19  7.60E-19
1936.5  7.59E-19  7.59E-19
1937  7.58E-19  7.58E-19
1937.5  7.57E-19  7.57E-19
1938  7.55E-19  7.55E-19
1938.5  7.54E-19  7.54E-19
1939  7.53E-19  7.53E-19
1939.5  7.51E-19  7.51E-19
1940  7.50E-19  7.50E-19
1940.5  7.51E-19  7.51E-19
1941  7.52E-19  7.52E-19
1941.5  7.53E-19  7.53E-19
1942  7.54E-19  7.54E-19
1942.5  7.56E-19  7.56E-19
1943  7.57E-19  7.57E-19
1943.5  7.58E-19  7.58E-19
1944  7.59E-19  7.59E-19
1944.5  7.60E-19  7.60E-19
1945  7.61E-19  7.61E-19
1945.5  7.62E-19  7.62E-19
1946  7.63E-19  7.63E-19
1946.5  7.64E-19  7.64E-19
1947  7.65E-19  7.65E-19
1947.5  7.67E-19  7.67E-19
1948  7.68E-19  7.68E-19
1948.5  7.69E-19  7.69E-19
1949  7.70E-19  7.70E-19
1949.5  7.71E-19  7.71E-19
1950  7.72E-19  7.72E-19
1950.5  7.73E-19  7.73E-19
1951  7.74E-19  7.74E-19
1951.5  7.75E-19  7.75E-19
1952  7.76E-19  7.76E-19
1952.5  7.78E-19  7.78E-19
1953  7.79E-19  7.79E-19
1953.5  7.80E-19  7.80E-19
1954  7.81E-19  7.81E-19
1954.5  7.82E-19  7.82E-19
1955  7.83E-19  7.83E-19
1955.5  7.84E-19  7.84E-19
1956  7.85E-19  7.85E-19
1956.5  7.86E-19  7.86E-19
1957  7.87E-19  7.87E-19
1957.5  7.89E-19  7.89E-19
1958  7.90E-19  7.90E-19
1958.5  7.91E-19  7.91E-19
1959  7.92E-19  7.92E-19
1959.5  7.93E-19  7.93E-19
1960  7.94E-19  7.94E-19
1960.5  7.93E-19  7.93E-19
1961  7.93E-19  7.93E-19
1961.5  7.92E-19  7.92E-19
1962  7.91E-19  7.91E-19
1962.5  7.91E-19  7.91E-19
1963  7.90E-19  7.90E-19
1963.5  7.89E-19  7.89E-19
1964  7.89E-19  7.89E-19
