0          References for Cross Section of CO2       Total   
Cross section:                                                                  
Lambda = 2.-270. A                                                              
   CO2_Babcock(1976)_298K_162-200nm                                 
   CO2_Ityaksov(2008)_298K_197.70-201.58nm(corr)                                                                            
0 Branching ratio for CO2      Total        1 branch
 Lambda  Total   CO/O  
1899.7  1.89E-22  1.89E-22
1908.6  1.69E-22  1.69E-22
1917.9  1.62E-22  1.62E-22
1926.4  1.53E-22  1.53E-22
1933.4  1.20E-22  1.20E-22
1938.1  8.91E-23  8.91E-23
1943.1  6.60E-23  6.60E-23
1948.9  5.26E-23  5.26E-23
1950.9  4.83E-23  4.83E-23
1959  4.31E-23  4.31E-23
1967.1  3.85E-23  3.85E-23
1977  4.26E-24  4.26E-24
1978.4  4.14E-24  4.14E-24
1982.8  4.50E-24  4.50E-24
1983.8  3.33E-24  3.33E-24
1984.8  3.93E-24  3.93E-24
1987.5  2.23E-24  2.23E-24
1991  2.38E-24  2.38E-24
1995.5  1.44E-24  1.44E-24
1999  1.44E-24  1.44E-24
2000.8  2.05E-24  2.05E-24
2004.2  1.36E-24  1.36E-24
2007.6  7.60E-25  7.60E-25
2010  6.20E-25  6.20E-25
2013.3  3.40E-25  3.40E-25
2015.8  9.00E-26  9.00E-26
2017.8  8.00E-25  8.00E-25
2024.3  7.90E-25  7.90E-25
2031.1  7.80E-25  7.80E-25
2037.6  7.50E-25  7.50E-25
2153.8  6.60E-25  6.60E-25
2517.2  3.30E-25  3.30E-25
2701.5  2.30E-25  2.30E-25
2750  2.10E-25  2.10E-25
3000  1.40E-25  1.40E-25
