0          References for Cross Section of O32S32SO        
           Frandsen et al., 2020 (cis-OSSO-No isotope)   
0 Branching ratio for O32S32SO       Total        1 branch
Lambda  Total   32SO/32SO
2498.5  1.00959E-19  1.00959E-19
2501  1.01153E-19  1.01153E-19
2503.5  1.01414E-19  1.01414E-19
2506  1.01770E-19  1.01770E-19
2508.6  1.02255E-19  1.02255E-19
2511.1  1.02900E-19  1.02900E-19
2513.7  1.03741E-19  1.03741E-19
2516.2  1.04816E-19  1.04816E-19
2518.8  1.06163E-19  1.06163E-19
2521.3  1.07824E-19  1.07824E-19
2523.9  1.09841E-19  1.09841E-19
2526.5  1.12263E-19  1.12263E-19
2529.1  1.15137E-19  1.15137E-19
2531.6  1.18518E-19  1.18518E-19
2534.2  1.22462E-19  1.22462E-19
2536.8  1.27031E-19  1.27031E-19
2539.4  1.32294E-19  1.32294E-19
2542  1.38323E-19  1.38323E-19
2544.6  1.45202E-19  1.45202E-19
2547.2  1.53018E-19  1.53018E-19
2549.9  1.61870E-19  1.61870E-19
2552.5  1.71865E-19  1.71865E-19
2555.1  1.83121E-19  1.83121E-19
2557.7  1.95762E-19  1.95762E-19
2560.4  2.09927E-19  2.09927E-19
2563  2.25759E-19  2.25759E-19
2565.7  2.43412E-19  2.43412E-19
2568.3  2.63048E-19  2.63048E-19
2571  2.84832E-19  2.84832E-19
2573.7  3.08935E-19  3.08935E-19
2576.3  3.35529E-19  3.35529E-19
2579  3.64786E-19  3.64786E-19
2581.7  3.96875E-19  3.96875E-19
2584.4  4.31960E-19  4.31960E-19
2587.1  4.70197E-19  4.70197E-19
2589.8  5.11730E-19  5.11730E-19
2592.5  5.56691E-19  5.56691E-19
2595.2  6.05197E-19  6.05197E-19
2597.9  6.57345E-19  6.57345E-19
2600.7  7.13213E-19  7.13213E-19
2603.4  7.72856E-19  7.72856E-19
2606.1  8.36305E-19  8.36305E-19
2608.9  9.03565E-19  9.03565E-19
2611.6  9.74616E-19  9.74616E-19
2614.4  1.04941E-18  1.04941E-18
2617.1  1.12786E-18  1.12786E-18
2619.9  1.20986E-18  1.20986E-18
2622.7  1.29528E-18  1.29528E-18
2625.4  1.38395E-18  1.38395E-18
2628.2  1.47566E-18  1.47566E-18
2631  1.57020E-18  1.57020E-18
2633.8  1.66731E-18  1.66731E-18
2636.6  1.76671E-18  1.76671E-18
2639.4  1.86810E-18  1.86810E-18
2642.2  1.97115E-18  1.97115E-18
2645.1  2.07551E-18  2.07551E-18
2647.9  2.18080E-18  2.18080E-18
2650.7  2.28664E-18  2.28664E-18
2653.5  2.39261E-18  2.39261E-18
2656.4  2.49828E-18  2.49828E-18
2659.2  2.60319E-18  2.60319E-18
2662.1  2.70687E-18  2.70687E-18
2665  2.80880E-18  2.80880E-18
2667.8  2.90849E-18  2.90849E-18
2670.7  3.00537E-18  3.00537E-18
2673.6  3.09888E-18  3.09888E-18
2676.5  3.18843E-18  3.18843E-18
2679.3  3.27344E-18  3.27344E-18
2682.2  3.35329E-18  3.35329E-18
2685.2  3.42739E-18  3.42739E-18
2688.1  3.49513E-18  3.49513E-18
2691  3.55596E-18  3.55596E-18
2693.9  3.60935E-18  3.60935E-18
2696.8  3.65482E-18  3.65482E-18
2699.8  3.69196E-18  3.69196E-18
2702.7  3.72045E-18  3.72045E-18
2705.7  3.74003E-18  3.74003E-18
2708.6  3.75058E-18  3.75058E-18
2711.6  3.75206E-18  3.75206E-18
2714.5  3.74454E-18  3.74454E-18
2717.5  3.72821E-18  3.72821E-18
2720.5  3.70336E-18  3.70336E-18
2723.5  3.67036E-18  3.67036E-18
2726.5  3.62970E-18  3.62970E-18
2729.5  3.58192E-18  3.58192E-18
2732.5  3.52763E-18  3.52763E-18
2735.5  3.46747E-18  3.46747E-18
2738.5  3.40215E-18  3.40215E-18
2741.6  3.33238E-18  3.33238E-18
2744.6  3.25887E-18  3.25887E-18
2747.6  3.18237E-18  3.18237E-18
2750.7  3.10358E-18  3.10358E-18
2753.7  3.02323E-18  3.02323E-18
2756.8  2.94199E-18  2.94199E-18
2759.9  2.86055E-18  2.86055E-18
2762.9  2.77954E-18  2.77954E-18
2766  2.69958E-18  2.69958E-18
2769.1  2.62123E-18  2.62123E-18
2772.2  2.54504E-18  2.54504E-18
2775.3  2.47148E-18  2.47148E-18
2778.4  2.40097E-18  2.40097E-18
2781.5  2.33388E-18  2.33388E-18
2784.7  2.27051E-18  2.27051E-18
2787.8  2.21107E-18  2.21107E-18
2790.9  2.15570E-18  2.15570E-18
2794.1  2.10447E-18  2.10447E-18
2797.2  2.05738E-18  2.05738E-18
2800.4  2.01433E-18  2.01433E-18
2803.5  1.97520E-18  1.97520E-18
2806.7  1.93979E-18  1.93979E-18
2809.9  1.90789E-18  1.90789E-18
2813.1  1.87927E-18  1.87927E-18
2816.3  1.85370E-18  1.85370E-18
2819.5  1.83097E-18  1.83097E-18
2822.7  1.81091E-18  1.81091E-18
2825.9  1.79343E-18  1.79343E-18
2829.1  1.77848E-18  1.77848E-18
2832.4  1.76609E-18  1.76609E-18
2835.6  1.75640E-18  1.75640E-18
2838.9  1.74960E-18  1.74960E-18
2842.1  1.74598E-18  1.74598E-18
2845.4  1.74587E-18  1.74587E-18
2848.6  1.74968E-18  1.74968E-18
2851.9  1.75782E-18  1.75782E-18
2855.2  1.77072E-18  1.77072E-18
2858.5  1.78881E-18  1.78881E-18
2861.8  1.81246E-18  1.81246E-18
2865.1  1.84200E-18  1.84200E-18
2868.4  1.87767E-18  1.87767E-18
2871.7  1.91961E-18  1.91961E-18
2875.1  1.96787E-18  1.96787E-18
2878.4  2.02236E-18  2.02236E-18
2881.7  2.08289E-18  2.08289E-18
2885.1  2.14916E-18  2.14916E-18
2888.5  2.22073E-18  2.22073E-18
2891.8  2.29710E-18  2.29710E-18
2895.2  2.37765E-18  2.37765E-18
2898.6  2.46173E-18  2.46173E-18
2902  2.54861E-18  2.54861E-18
2905.4  2.63756E-18  2.63756E-18
2908.8  2.72783E-18  2.72783E-18
2912.2  2.81869E-18  2.81869E-18
2915.6  2.90945E-18  2.90945E-18
2919.1  2.99945E-18  2.99945E-18
2922.5  3.08810E-18  3.08810E-18
2925.9  3.17488E-18  3.17488E-18
2929.4  3.25934E-18  3.25934E-18
2932.9  3.34112E-18  3.34112E-18
2936.3  3.41993E-18  3.41993E-18
2939.8  3.49554E-18  3.49554E-18
2943.3  3.56782E-18  3.56782E-18
2946.8  3.63665E-18  3.63665E-18
2950.3  3.70199E-18  3.70199E-18
2953.8  3.76381E-18  3.76381E-18
2957.4  3.82213E-18  3.82213E-18
2960.9  3.87694E-18  3.87694E-18
2964.4  3.92825E-18  3.92825E-18
2968  3.97607E-18  3.97607E-18
2971.5  4.02036E-18  4.02036E-18
2975.1  4.06107E-18  4.06107E-18
2978.7  4.09814E-18  4.09814E-18
2982.3  4.13146E-18  4.13146E-18
2985.8  4.16091E-18  4.16091E-18
2989.4  4.18634E-18  4.18634E-18
2993.1  4.20760E-18  4.20760E-18
2996.7  4.22453E-18  4.22453E-18
3000.3  4.23699E-18  4.23699E-18
3003.9  4.24485E-18  4.24485E-18
3007.6  4.24801E-18  4.24801E-18
