0          References for Cross Section of OC36S       
Hattori 2011-Limao-Vieira 2015                                                               
0 Branching ratio for OC36S      Total       1 branch
Lambda  Total   CO/36S  
1900  3.15E-20  3.15E-20
1900.5  3.07E-20  3.07E-20
1901  2.92E-20  2.92E-20
1901.5  2.86E-20  2.86E-20
1902  2.41E-20  2.41E-20
1902.5  2.24E-20  2.24E-20
1903  2.07E-20  2.07E-20
1903.5  1.89E-20  1.89E-20
1904  2.10E-20  2.10E-20
1904.5  2.14E-20  2.14E-20
1905  2.20E-20  2.20E-20
1905.5  1.97E-20  1.97E-20
1906  1.96E-20  1.96E-20
1906.5  1.90E-20  1.90E-20
1907  1.84E-20  1.84E-20
1907.5  1.93E-20  1.93E-20
1908  1.67E-20  1.67E-20
1908.5  1.83E-20  1.83E-20
1909  1.78E-20  1.78E-20
1909.5  1.65E-20  1.65E-20
1910  1.44E-20  1.44E-20
1910.5  1.34E-20  1.34E-20
1911  1.74E-20  1.74E-20
1911.5  1.75E-20  1.75E-20
1912  1.53E-20  1.53E-20
1912.5  1.25E-20  1.25E-20
1913  1.34E-20  1.34E-20
1913.5  1.37E-20  1.37E-20
1914  1.06E-20  1.06E-20
1914.5  1.45E-20  1.45E-20
1915  1.36E-20  1.36E-20
1915.5  1.57E-20  1.57E-20
1916  1.47E-20  1.47E-20
1916.5  1.22E-20  1.22E-20
1917  1.05E-20  1.05E-20
1917.5  1.50E-20  1.50E-20
1918  1.29E-20  1.29E-20
1918.5  1.48E-20  1.48E-20
1919  1.15E-20  1.15E-20
1919.5  1.47E-20  1.47E-20
1920  1.59E-20  1.59E-20
1920.5  1.30E-20  1.30E-20
1921  1.28E-20  1.28E-20
1921.5  1.27E-20  1.27E-20
1922  1.08E-20  1.08E-20
1922.5  1.16E-20  1.16E-20
1923  8.20E-21  8.20E-21
1923.5  9.90E-21  9.90E-21
1924  1.04E-20  1.04E-20
1924.5  1.40E-20  1.40E-20
1925  1.03E-20  1.03E-20
1925.5  1.13E-20  1.13E-20
1926  8.70E-21  8.70E-21
1926.5  1.08E-20  1.08E-20
1927  1.30E-20  1.30E-20
1927.5  1.20E-20  1.20E-20
1928  1.24E-20  1.24E-20
1928.5  1.41E-20  1.41E-20
1929  1.50E-20  1.50E-20
1929.5  1.42E-20  1.42E-20
1930  1.58E-20  1.58E-20
1930.5  1.49E-20  1.49E-20
1931  1.54E-20  1.54E-20
1931.5  1.39E-20  1.39E-20
1932  1.08E-20  1.08E-20
1932.5  8.10E-21  8.10E-21
1933  4.70E-21  4.70E-21
1933.5  4.10E-21  4.10E-21
1934  4.10E-21  4.10E-21
1934.5  2.50E-21  2.50E-21
1935  5.10E-21  5.10E-21
1935.5  8.10E-21  8.10E-21
