@var:T=Tgas
@var:invT=1d0/Tgas
@var:M=n(idx_M) 
@format:idx,R,R,R,P,P,rate

# SO + SO → SO₂ + S
1,32SO,32SO,,32SO2,32S,3.14d-15
2,33SO,33SO,,33SO2,33S,3.14d-15
3,34SO,34SO,,34SO2,34S,3.14d-15
4,36SO,36SO,,36SO2,36S,3.14d-15
5,32SO,33SO,,32SO2,33S,3.14d-15
6,32SO,33SO,,33SO2,32S,3.14d-15
7,32SO,34SO,,32SO2,34S,3.14d-15
8,32SO,34SO,,34SO2,32S,3.14d-15
9,32SO,36SO,,32SO2,36S,3.14d-15
10,32SO,36SO,,36SO2,32S,3.14d-15
11,33SO,34SO,,33SO2,34S,3.14d-15
12,33SO,34SO,,34SO2,33S,3.14d-15
13,33SO,36SO,,33SO2,36S,3.14d-15
14,33SO,36SO,,36SO2,33S,3.14d-15
15,34SO,36SO,,34SO2,36S,3.14d-15
16,34SO,36SO,,36SO2,34S,3.14d-15

# S + CO + M → OCS + M
17,32S,CO,M,OC32S,M,1.01d-34
18,33S,CO,M,OC33S,M,1.01d-34
19,34S,CO,M,OC34S,M,1.01d-34
20,36S,CO,M,OC36S,M,1.01d-34

21,O,CO,,CO2,,1.98d-16

# ¹SO₂ + M → ³SO₂ + M
22,32SO2_1A2,M,,32SO2_3B1,M,1.00d-12
23,33SO2_1A2,M,,33SO2_3B1,M,1.12d-12
24,34SO2_1A2,M,,34SO2_3B1,M,9.97d-13
25,36SO2_1A2,M,,36SO2_3B1,M,1.14d-12

# ¹SO₂(a) + M → SO₂ + M
26,32SO2_1A2,M,,32SO2,M,1.00d-11
27,33SO2_1A2,M,,33SO2,M,1.00d-11
28,34SO2_1A2,M,,34SO2,M,1.00d-11
29,36SO2_1A2,M,,36SO2,M,1.00d-11

# ³SO₂ + M → SO₂ + M
30,32SO2_3B1,M,,32SO2,M,1.40d-13
31,33SO2_3B1,M,,33SO2,M,1.40d-13
32,34SO2_3B1,M,,34SO2,M,1.40d-13
33,36SO2_3B1,M,,36SO2,M,1.40d-13

# ¹SO₂(b) + M → SO₂ + M
34,32SO2_1B1,M,,32SO2,M,1.00d-11
35,33SO2_1B1,M,,33SO2,M,1.00d-11
36,34SO2_1B1,M,,34SO2,M,1.00d-11
37,36SO2_1B1,M,,36SO2,M,1.00d-11

# ³SO₂ + CO → SO + CO₂
38,32SO2_3B1,CO,,32SO,CO2,4.28d-15
39,33SO2_3B1,CO,,33SO,CO2,4.28d-15
40,34SO2_3B1,CO,,34SO,CO2,4.28d-15
